comparison,p1_pct,n1,p2_pct,n2,diff_pp,z,p_value,significant_at_0.05
"Carrot vs Stick (overall, Layer 3 main effect)",80.66523905777814,99934,92.60388143825075,100066,-11.938642380472618,-78.46153141731723,0.0,True
"Drought Off vs On (overall, Layer 2 main effect)",75.52033893224352,100079,97.77424165090422,99921,-22.25390271866069,-146.25407706377072,0.0,True
Carrot+DroughtOn vs Stick+DroughtOn (interaction cell),95.54415771758295,49912,100.0,50009,-4.455842282417056,-47.739378653876194,0.0,True
Carrot+DroughtOff vs Stick+DroughtOff (interaction cell),65.81903962256607,50022,85.21485506522565,50057,-19.395815442659583,-71.35342658291073,0.0,True
Carrot: DroughtOff vs DroughtOn (within-Carrot drought effect),65.81903962256607,50022,95.54415771758295,49912,-29.725118095016878,-118.96996928561622,0.0,True
Stick: DroughtOff vs DroughtOn (within-Stick drought effect),85.21485506522565,50057,100.0,50009,-14.785144934774353,-89.35570447058552,0.0,True
