target,parameter,S1,S1_conf,ST,ST_conf
peak_mutiny,w1,0.43763788299923356,0.05516741521646607,0.7053948668433676,0.05012897569448304
peak_mutiny,w2,-5.328810183494516e-06,1.033821552908449e-05,0.00016862831190127774,0.0003271491707737776
peak_mutiny,w3,0.014717645524081927,0.011400865537606929,0.028506067639718583,0.003749279078420903
peak_mutiny,w4,0.029293328805669098,0.016446417187765846,0.050612689694424874,0.008350833105440722
peak_mutiny,w5_social,6.281770292165557e-05,0.0002287091346858504,1.6412180457987154e-05,7.900340552892532e-06
peak_mutiny,despair_rate,0.1386267304909617,0.030550492009911105,0.3091948900632371,0.03156056353983182
peak_mutiny,rebel_threshold,0.14467882499018694,0.037891661741271,0.3469373035572642,0.03085784472593955
collapse_quarter,w1,0.2775170024888613,0.0666642831536337,0.9105894603244604,0.06278661346103097
collapse_quarter,w2,-0.0007108731431901757,0.0015413051393989442,0.000876081292135913,0.00027137910309337203
collapse_quarter,w3,0.012337556802869956,0.014977618431417766,0.06553761973862889,0.014999281181065069
collapse_quarter,w4,0.02969079585500628,0.02340475056886886,0.09691211253607471,0.022136350184715544
collapse_quarter,w5_social,0.0022905418670805407,0.002357558150352283,0.0011344129552016307,0.00021061738871161177
collapse_quarter,despair_rate,0.07530207140190867,0.046305858863892976,0.4975050007260248,0.05368581389524943
collapse_quarter,rebel_threshold,0.04165003614539512,0.050984107381187325,0.5339922140898843,0.05313922254064657
