row_index,w1,intervention_quarter,intervention_coverage,rebel_threshold,peak_mutiny_mean,peak_mutiny_std,collapse_quarter_mean,collapse_quarter_std
0,0.01005126953125,14.0390625,0.8138916015625,0.6845556640625,40.0,48.98979485566356,8.2,11.702991070662234
1,0.03237060546875,14.0390625,0.8138916015625,0.6845556640625,56.914,38.48829307724623,15.4,9.221713506718803
2,0.01005126953125,27.5390625,0.8138916015625,0.6845556640625,50.688,44.74252312956881,9.8,8.840814442120138
3,0.01005126953125,14.0390625,0.9485595703125,0.6845556640625,20.0,40.0,2.6,7.200000000000001
4,0.01005126953125,14.0390625,0.8138916015625,0.6391650390625,48.302,44.85011500542668,11.6,11.01998185116473
5,0.03237060546875,27.5390625,0.9485595703125,0.6391650390625,92.184,6.524215201846122,14.8,1.6
6,0.04505126953125001,30.0390625,0.4638916015625,0.6145556640625,96.926,2.671034256612968,14.0,0.8944271909999159
7,0.06737060546875,30.0390625,0.4638916015625,0.6145556640625,96.808,3.5629785292645244,11.4,3.6110940170535573
8,0.04505126953125001,11.5390625,0.4638916015625,0.6145556640625,74.55,22.044504076980274,14.2,1.16619037896906
9,0.04505126953125001,30.0390625,0.5985595703125,0.6145556640625,96.926,2.671034256612968,14.0,0.8944271909999159
10,0.04505126953125001,30.0390625,0.4638916015625,0.7091650390625,94.36800000000001,4.74063033783483,15.8,1.6
11,0.06737060546875,11.5390625,0.5985595703125,0.7091650390625,66.402,28.483956466755103,15.2,1.469693845669907
12,0.06255126953125001,6.0390625,0.9888916015625,0.7195556640624999,50.61,41.76557146741799,11.0,10.411532067856296
13,0.04987060546875,6.0390625,0.9888916015625,0.7195556640624999,30.75,36.91091112394816,5.8,8.423775875461075
14,0.06255126953125001,19.5390625,0.9888916015625,0.7195556640624999,92.12,6.721330225483642,15.2,1.8330302779823362
15,0.06255126953125001,6.0390625,0.7735595703125,0.7195556640624999,55.95,39.0290425196417,14.4,8.522910301065007
16,0.06255126953125001,6.0390625,0.9888916015625,0.6741650390625,50.918,41.5411884278724,14.0,8.221921916437786
17,0.04987060546875,19.5390625,0.7735595703125,0.6741650390625,92.364,6.520277908187658,14.8,1.6
18,0.02755126953125,22.0390625,0.6388916015624999,0.6495556640625,91.89000000000001,6.901657771869017,15.0,1.4142135623730951
19,0.014870605468750001,22.0390625,0.6388916015624999,0.6495556640625,78.83,30.997572808205486,12.4,6.829348431585549
20,0.02755126953125,35.5390625,0.6388916015624999,0.6495556640625,91.89000000000001,6.901657771869017,15.0,1.4142135623730951
21,0.02755126953125,22.0390625,0.42355957031249997,0.6495556640625,91.89000000000001,6.901657771869017,15.0,1.4142135623730951
22,0.02755126953125,22.0390625,0.6388916015624999,0.6041650390625,92.47999999999999,6.6152944001004235,14.0,1.2649110640673518
23,0.014870605468750001,35.5390625,0.42355957031249997,0.6041650390625,92.07199999999999,6.559339600904957,14.2,1.6
24,0.03630126953125,10.0390625,0.37639160156249996,0.6320556640624999,78.804,19.191411203973512,14.6,1.0198039027185568
25,0.02362060546875,10.0390625,0.37639160156249996,0.6320556640624999,75.574,21.3854582368487,15.0,1.4142135623730951
26,0.03630126953125,23.5390625,0.37639160156249996,0.6320556640624999,96.328,3.0124767219017667,14.2,1.16619037896906
27,0.03630126953125,10.0390625,0.6860595703125,0.6320556640624999,64.474,32.67236361208047,14.2,8.749857141690944
28,0.03630126953125,10.0390625,0.37639160156249996,0.6566650390625,77.066,20.484331182638112,15.0,1.4142135623730951
29,0.02362060546875,23.5390625,0.6860595703125,0.6566650390625,88.84,11.337075460629164,15.6,1.624807680927192
30,0.07130126953125,26.0390625,0.7263916015625,0.7020556640625,94.31400000000001,5.423532428224248,14.6,1.3564659966250536
31,0.05862060546875,26.0390625,0.7263916015625,0.7020556640625,94.882,4.799401629370059,14.8,1.6
32,0.07130126953125,7.5390625,0.7263916015625,0.7020556640625,61.49400000000001,36.48703693094302,13.2,7.35934779718964
33,0.07130126953125,26.0390625,0.3360595703125,0.7020556640625,94.31400000000001,5.423532428224248,14.6,1.3564659966250536
34,0.07130126953125,26.0390625,0.7263916015625,0.5866650390625,95.846,5.952450251787076,9.8,4.069397989875161
35,0.05862060546875,7.5390625,0.3360595703125,0.5866650390625,79.562,19.80383437620099,10.4,3.8262252939417984
36,0.05380126953125001,18.0390625,0.5513916015625,0.5970556640625,95.126,5.636352011718218,11.4,2.939387691339814
37,0.07612060546875,18.0390625,0.5513916015625,0.5970556640625,93.72800000000001,6.781723674700998,10.2,4.354308211415448
38,0.05380126953125001,15.5390625,0.5513916015625,0.5970556640625,84.746,14.697171972866073,11.4,2.939387691339814
39,0.05380126953125001,18.0390625,0.8610595703124999,0.5970556640625,95.126,5.636352011718218,11.4,2.939387691339814
40,0.05380126953125001,18.0390625,0.5513916015625,0.6216650390624999,95.718,5.273664380674979,14.0,0.8944271909999159
41,0.07612060546875,15.5390625,0.8610595703124999,0.6216650390624999,79.026,26.148293711062678,11.6,3.7735924528226414
42,0.01880126953125,34.0390625,0.9013916015624999,0.6670556640624999,76.0,30.64055547799354,12.4,6.829348431585549
43,0.04112060546875,34.0390625,0.9013916015624999,0.6670556640624999,94.4,4.736348804722896,14.8,1.6
44,0.01880126953125,31.5390625,0.9013916015624999,0.6670556640624999,76.0,30.64055547799354,12.4,6.829348431585549
45,0.01880126953125,34.0390625,0.5110595703125,0.6670556640624999,76.0,30.64055547799354,12.4,6.829348431585549
46,0.01880126953125,34.0390625,0.9013916015624999,0.6916650390625,63.826,40.36871343008097,13.0,7.155417527999327
47,0.04112060546875,31.5390625,0.5110595703125,0.6916650390625,92.35799999999999,6.250332471157034,15.8,1.6
48,0.02317626953125,4.0390625,0.5076416015625,0.6933056640624999,55.012000000000015,38.570498259680285,13.2,7.277362159464101
49,0.06299560546875001,4.0390625,0.5076416015625,0.6933056640624999,70.33,26.205813095570992,15.2,1.469693845669907
50,0.02317626953125,33.5390625,0.5076416015625,0.6933056640624999,70.644,34.86767763990025,12.6,6.945502141674135
51,0.02317626953125,4.0390625,0.7298095703125,0.6933056640624999,48.368,43.35061217560831,11.4,10.61319932913728
52,0.02317626953125,4.0390625,0.5076416015625,0.6654150390625,64.64,30.233054096468653,16.6,1.854723699099141
53,0.06299560546875001,33.5390625,0.7298095703125,0.6654150390625,95.574,5.253313620944402,14.4,1.2
54,0.058176269531250005,20.0390625,0.8576416015624999,0.6233056640625,95.60600000000001,5.67436903981403,14.0,0.8944271909999159
55,0.027995605468750004,20.0390625,0.8576416015624999,0.6233056640625,92.968,6.279673239906676,14.2,1.16619037896906
56,0.058176269531250005,17.5390625,0.8576416015624999,0.6233056640625,95.60600000000001,5.67436903981403,14.0,0.8944271909999159
57,0.058176269531250005,20.0390625,0.37980957031249996,0.6233056640625,95.60600000000001,5.67436903981403,14.0,0.8944271909999159
58,0.058176269531250005,20.0390625,0.8576416015624999,0.5954150390624999,94.31,6.970520783987378,11.0,3.40587727318528
