row_index,w1,w2,w3,w4,w5_social,despair_rate,rebel_threshold,peak_mutiny_mean,peak_mutiny_std,collapse_quarter_mean,collapse_quarter_std
0,0.01041015625,0.5984375,0.37109375,1.3013671875,0.8013671875,0.0061152343750000004,0.6311328125,20.0,40.0,1.8,5.6
1,0.03501953125,0.5984375,0.37109375,1.3013671875,0.8013671875,0.0061152343750000004,0.6311328125,73.674,22.626968511048933,16.6,1.8547236990991407
2,0.01041015625,0.4296875,0.37109375,1.3013671875,0.8013671875,0.0061152343750000004,0.6311328125,20.0,40.0,1.8,5.6
3,0.01041015625,0.5984375,0.26328125,1.3013671875,0.8013671875,0.0061152343750000004,0.6311328125,20.0,40.0,1.8,5.6
4,0.01041015625,0.5984375,0.37109375,1.5736328125,0.8013671875,0.0061152343750000004,0.6311328125,20.0,40.0,1.8,5.6
5,0.01041015625,0.5984375,0.37109375,1.3013671875,0.9982421875,0.0061152343750000004,0.6311328125,20.0,40.0,1.8,5.6
6,0.01041015625,0.5984375,0.37109375,1.3013671875,0.8013671875,0.009853515625,0.6311328125,20.0,40.0,1.8,5.6
7,0.01041015625,0.5984375,0.37109375,1.3013671875,0.8013671875,0.0061152343750000004,0.6251171875,20.0,40.0,1.8,5.6
8,0.03501953125,0.4296875,0.26328125,1.5736328125,0.9982421875,0.009853515625,0.6251171875,78.16999999999999,18.943148629517744,16.6,1.8547236990991407
9,0.04541015625000001,0.9984375000000001,0.17109375,2.1513671875,0.35136718750000007,0.020615234375,0.7011328124999999,76.534,23.244117191237873,17.0,2.0976176963403033
10,0.07001953125,0.9984375000000001,0.17109375,2.1513671875,0.35136718750000007,0.020615234375,0.7011328124999999,86.35,11.102936548499228,15.8,1.4696938456699067
11,0.04541015625000001,0.8296875000000001,0.17109375,2.1513671875,0.35136718750000007,0.020615234375,0.7011328124999999,76.534,23.244117191237873,17.0,2.0976176963403033
12,0.04541015625000001,0.9984375000000001,0.46328125,2.1513671875,0.35136718750000007,0.020615234375,0.7011328124999999,75.134,20.339846213774578,16.6,1.8547236990991407
13,0.04541015625000001,0.9984375000000001,0.17109375,2.4236328125,0.35136718750000007,0.020615234375,0.7011328124999999,75.378,22.17704524953674,17.2,2.1354156504062622
14,0.04541015625000001,0.9984375000000001,0.17109375,2.1513671875,0.5482421875,0.020615234375,0.7011328124999999,76.534,23.244117191237873,17.0,2.0976176963403033
15,0.04541015625000001,0.9984375000000001,0.17109375,2.1513671875,0.35136718750000007,0.024353515625,0.7011328124999999,73.72,22.470460609431218,16.6,1.8547236990991407
16,0.04541015625000001,0.9984375000000001,0.17109375,2.1513671875,0.35136718750000007,0.020615234375,0.6951171875,75.15599999999999,23.270737504428176,16.6,1.8547236990991407
17,0.07001953125,0.8296875000000001,0.46328125,2.4236328125,0.5482421875,0.024353515625,0.6951171875,84.902,11.506226835935403,15.4,1.2
18,0.06291015625,0.3984375,0.47109375,0.8763671875000001,0.1263671875,0.027865234375,0.5961328124999999,85.436,10.85295277793099,9.2,2.6381811916545836
19,0.05251953125000001,0.3984375,0.47109375,0.8763671875000001,0.1263671875,0.027865234375,0.5961328124999999,85.42,10.850472800758498,9.2,2.6381811916545836
20,0.06291015625,0.6296875,0.47109375,0.8763671875000001,0.1263671875,0.027865234375,0.5961328124999999,85.436,10.85295277793099,9.0,3.03315017762062
21,0.06291015625,0.3984375,0.36328125,0.8763671875000001,0.1263671875,0.027865234375,0.5961328124999999,84.484,11.740246334723984,10.2,3.1874754901018454
22,0.06291015625,0.3984375,0.47109375,1.9986328125,0.1263671875,0.027865234375,0.5961328124999999,93.86600000000001,9.42722780036634,12.2,3.6
23,0.06291015625,0.3984375,0.47109375,0.8763671875000001,0.3232421875,0.027865234375,0.5961328124999999,86.50399999999999,10.620726152198822,9.2,2.6381811916545836
24,0.06291015625,0.3984375,0.47109375,0.8763671875000001,0.1263671875,0.017103515625,0.5961328124999999,87.01,10.222269806652532,12.0,4.0
25,0.06291015625,0.3984375,0.47109375,0.8763671875000001,0.1263671875,0.027865234375,0.5901171875,84.346,10.94748482529206,8.4,2.8000000000000003
26,0.05251953125000001,0.6296875,0.36328125,1.9986328125,0.3232421875,0.017103515625,0.5901171875,94.438,9.63822265773104,13.4,3.2000000000000006
