target,parameter,S1,S1_conf,ST,ST_conf
peak_mutiny,w1,0.4034571318526944,0.136420703059161,0.7286635653423893,0.16095517881990737
peak_mutiny,w2,0.0,0.0,0.0,0.0
peak_mutiny,w3,-0.009580140259209498,0.02290698261681211,0.02590486210942358,0.008254954238390306
peak_mutiny,w4,-0.004068483177162126,0.04503327863562105,0.05415758634849106,0.021801147924105174
peak_mutiny,w5_social,0.00046512069217313735,0.0006445241615084904,3.061700616657648e-05,2.9631665609892207e-05
peak_mutiny,despair_rate,0.09792289745212666,0.0855485875022186,0.3571329437112076,0.1155800496772936
peak_mutiny,rebel_threshold,0.1124135058806979,0.10084089726691829,0.31142018503614843,0.11327678356826298
collapse_quarter,w1,0.1938239593823546,0.19262866965281406,0.9890381699949577,0.1954160776954104
collapse_quarter,w2,-0.00259503582324738,0.0041880721577448295,0.000633388665227585,0.00032308991363904965
collapse_quarter,w3,0.0035012317883413966,0.034674612308852056,0.03599346090891067,0.030141100458175217
collapse_quarter,w4,-0.010473519958409462,0.0686293346848529,0.1123185643109165,0.055772537617347545
collapse_quarter,w5_social,0.00507305594103954,0.006978976103277778,0.0009589292082495863,0.0005806380813248213
collapse_quarter,despair_rate,0.015794810392625938,0.1094991662380244,0.5544521605130781,0.15616117070139915
collapse_quarter,rebel_threshold,-0.045060285975575175,0.1015665898209061,0.5188727022512716,0.20169157752736858
