row_index,rebel_threshold,w1,peak_mutiny_mean,peak_mutiny_std,collapse_quarter_mean,collapse_quarter_std
0,0.5801025390625,0.03196044921875,77.134,38.964289086290286,8.6,5.161395160225576
1,0.6827783203125,0.03196044921875,77.24600000000001,38.989460934975746,11.0,6.099180272790763
2,0.5801025390625,0.06227783203125001,96.55199999999999,5.348597573196175,8.0,4.2895221179054435
3,0.5801025390625,0.06227783203125001,96.55199999999999,5.348597573196175,8.0,4.2895221179054435
4,0.6827783203125,0.03196044921875,77.24600000000001,38.989460934975746,11.0,6.099180272790763
5,0.6827783203125,0.06227783203125001,77.918,39.16706391855279,10.6,5.851495535331118
6,0.6501025390624999,0.06696044921875001,78.944,39.52493572417291,10.4,5.71314274283428
7,0.6127783203125,0.06696044921875001,88.34,17.016114715175142,11.6,3.4985711369071804
8,0.6501025390624999,0.027277832031250004,77.32000000000001,39.00678915265905,10.8,5.946427498927402
9,0.6501025390624999,0.027277832031250004,77.32000000000001,39.00678915265905,10.8,5.946427498927402
10,0.6127783203125,0.06696044921875001,88.34,17.016114715175142,11.6,3.4985711369071804
11,0.6127783203125,0.027277832031250004,77.926,39.16945115775813,10.4,5.71314274283428
12,0.6851025390625,0.014460449218750001,70.422,39.79739107026992,11.6,6.437390775772433
13,0.7177783203125,0.014460449218750001,67.396,41.60869216882453,12.4,6.974238309665077
14,0.6851025390625,0.07977783203125,77.64,39.08808514112709,10.6,5.851495535331118
15,0.6851025390625,0.07977783203125,77.64,39.08808514112709,10.6,5.851495535331118
16,0.7177783203125,0.014460449218750001,67.396,41.60869216882453,12.4,6.974238309665077
17,0.7177783203125,0.07977783203125,76.862,38.90845892604846,10.6,5.851495535331118
18,0.6151025390625,0.04946044921875001,77.424,39.032077884734754,10.4,5.71314274283428
19,0.6477783203124999,0.04946044921875001,77.02799999999999,38.94163756186943,10.6,5.851495535331118
20,0.6151025390625,0.044777832031250006,77.536,39.06053230564069,10.4,5.71314274283428
21,0.6151025390625,0.044777832031250006,77.536,39.06053230564069,10.4,5.71314274283428
22,0.6477783203124999,0.04946044921875001,77.02799999999999,38.94163756186943,10.6,5.851495535331118
23,0.6477783203124999,0.044777832031250006,77.32000000000001,39.00678915265905,10.6,5.851495535331118
24,0.6326025390625,0.023210449218750002,77.924,39.16885374886531,10.4,5.71314274283428
25,0.5952783203124999,0.023210449218750002,77.978,39.185123912015385,10.0,5.513619500836088
26,0.6326025390625,0.036027832031250005,76.87,38.909993574915944,10.4,5.71314274283428
27,0.6326025390625,0.036027832031250005,76.87,38.909993574915944,10.4,5.71314274283428
28,0.5952783203124999,0.023210449218750002,77.978,39.185123912015385,10.0,5.513619500836088
29,0.5952783203124999,0.036027832031250005,77.916,39.16646810729811,10.0,5.513619500836088
30,0.7026025390624999,0.05821044921875001,77.648,39.09024962826408,10.6,5.851495535331118
31,0.6652783203125,0.05821044921875001,77.586,39.073643085844964,10.6,5.851495535331118
32,0.7026025390624999,0.07102783203125,76.95599999999999,38.926902573926945,10.6,5.851495535331118
33,0.7026025390624999,0.07102783203125,76.95599999999999,38.926902573926945,10.6,5.851495535331118
34,0.6652783203125,0.05821044921875001,77.586,39.073643085844964,10.6,5.851495535331118
35,0.6652783203125,0.07102783203125,76.858,38.90769404629372,10.6,5.851495535331118
36,0.6676025390625,0.04071044921875,77.076,38.95175354204223,10.6,5.851495535331118
37,0.6302783203125,0.04071044921875,78.34400000000001,39.303044971096064,10.4,5.71314274283428
38,0.6676025390625,0.018527832031250004,76.852,38.906549782780786,11.0,6.099180272790763
39,0.6676025390625,0.018527832031250004,76.852,38.906549782780786,11.0,6.099180272790763
40,0.6302783203125,0.04071044921875,78.34400000000001,39.303044971096064,10.4,5.71314274283428
41,0.6302783203125,0.018527832031250004,77.34,39.01156751528962,10.6,5.817215828899595
42,0.5976025390624999,0.07571044921875,98.058,3.2384094861521135,9.0,4.2895221179054435
43,0.7002783203124999,0.07571044921875,78.014,39.19613225817057,10.6,5.851495535331118
44,0.5976025390624999,0.05352783203125001,85.732,24.313800525627414,12.2,2.9257477676655586
45,0.5976025390624999,0.05352783203125001,85.732,24.313800525627414,12.2,2.9257477676655586
46,0.7002783203124999,0.07571044921875,78.014,39.19613225817057,10.6,5.851495535331118
47,0.7002783203124999,0.05352783203125001,77.82000000000001,39.13833925960579,10.8,6.013318551349163
48,0.6063525390625,0.01008544921875,77.232,38.98624495895956,10.2,5.6000000000000005
49,0.6215283203124999,0.01008544921875,77.088,38.95431909300944,10.6,5.817215828899595
50,0.6063525390625,0.06665283203125,90.8,14.848354791019778,10.2,3.655133376499413
51,0.6063525390625,0.06665283203125,90.8,14.848354791019778,10.2,3.655133376499413
52,0.6215283203124999,0.01008544921875,77.088,38.95431909300944,10.6,5.817215828899595
53,0.6215283203124999,0.06665283203125,85.22999999999999,23.54723423249533,12.8,2.6381811916545836
54,0.6763525390624999,0.045085449218750004,77.208,38.98077803225585,10.6,5.851495535331118
55,0.6915283203125,0.045085449218750004,78.074,39.21476640246631,11.0,6.099180272790763
56,0.6763525390624999,0.03165283203125,76.82000000000001,38.90050899409929,11.0,6.099180272790763
57,0.6763525390624999,0.03165283203125,76.82000000000001,38.90050899409929,11.0,6.099180272790763
58,0.6915283203125,0.045085449218750004,78.074,39.21476640246631,11.0,6.099180272790763
59,0.6915283203125,0.03165283203125,77.846,39.14586649954245,11.0,6.099180272790763
60,0.7113525390625,0.027585449218750002,75.30199999999999,38.73454293005147,11.6,6.437390775772433
61,0.5865283203124999,0.027585449218750002,76.95599999999999,38.926902573926945,9.2,5.230678732248808
62,0.7113525390625,0.04915283203125,76.964,38.92851376561916,11.0,6.099180272790763
63,0.7113525390625,0.04915283203125,76.964,38.92851376561916,11.0,6.099180272790763
64,0.5865283203124999,0.027585449218750002,76.95599999999999,38.926902573926945,9.2,5.230678732248808
65,0.5865283203124999,0.04915283203125,85.444,22.189469214021322,9.6,3.3823069050575527
66,0.6413525390625,0.06258544921875,78.532,39.36877056754503,10.4,5.71314274283428
67,0.6565283203125,0.06258544921875,76.92,38.91973278428309,10.6,5.851495535331118
68,0.6413525390625,0.01415283203125,76.86800000000001,38.90960930155943,10.8,5.946427498927402
69,0.6413525390625,0.01415283203125,76.86800000000001,38.90960930155943,10.8,5.946427498927402
70,0.6565283203125,0.06258544921875,76.92,38.91973278428309,10.6,5.851495535331118
71,0.6565283203125,0.01415283203125,76.8,38.8967864996583,11.2,6.209669878504009
72,0.6238525390624999,0.03633544921875,78.174,39.24661901361696,10.4,5.71314274283428
73,0.7090283203125,0.03633544921875,76.738,38.8855059887357,11.0,6.099180272790763
74,0.6238525390624999,0.02290283203125,77.168,38.971796160813525,10.4,5.71314274283428
75,0.6238525390624999,0.02290283203125,77.168,38.971796160813525,10.4,5.71314274283428
76,0.7090283203125,0.03633544921875,76.738,38.8855059887357,11.0,6.099180272790763
77,0.7090283203125,0.02290283203125,71.462,39.37092551617246,11.6,6.437390775772433
78,0.6938525390625,0.07133544921875,77.92999999999999,39.170647173617134,10.6,5.851495535331118
79,0.6390283203125,0.07133544921875,83.434,28.951479133198013,13.8,1.1661903789690602
80,0.6938525390625,0.057902832031250004,77.286,38.99875874947817,10.6,5.851495535331118
81,0.6938525390625,0.057902832031250004,77.286,38.99875874947817,10.6,5.851495535331118
82,0.6390283203125,0.07133544921875,83.434,28.951479133198013,13.8,1.1661903789690602
83,0.6390283203125,0.057902832031250004,78.45599999999999,39.341781149307415,10.4,5.71314274283428
84,0.6588525390625,0.01883544921875,77.614,39.08109496930709,11.0,6.099180272790763
85,0.6740283203124999,0.01883544921875,77.364,39.0173549077843,11.2,6.209669878504009
