row_index,w1,w2,w3,w4,w5_social,despair_rate,rebel_threshold,peak_mutiny_mean,peak_mutiny_std,collapse_quarter_mean,collapse_quarter_std
0,0.0101025390625,0.501171875,0.2791015625,1.627587890625,0.601416015625,0.027482910156250002,0.6138378906249999,86.826,11.129579686582957,15.2,1.1661903789690602
1,0.051118164062500006,0.501171875,0.2791015625,1.627587890625,0.601416015625,0.027482910156250002,0.6138378906249999,92.188,10.124258787684164,13.0,3.521363372331802
2,0.0101025390625,0.7574218750000001,0.2791015625,1.627587890625,0.601416015625,0.027482910156250002,0.6138378906249999,86.826,11.129579686582957,15.2,1.1661903789690602
3,0.0101025390625,0.501171875,0.3685546875,1.627587890625,0.601416015625,0.027482910156250002,0.6138378906249999,83.678,11.476231785738731,15.2,1.1661903789690602
4,0.0101025390625,0.501171875,0.2791015625,2.197021484375,0.601416015625,0.027482910156250002,0.6138378906249999,82.93199999999999,13.30887433256472,16.0,1.5491933384829668
5,0.0101025390625,0.501171875,0.2791015625,1.627587890625,0.929248046875,0.027482910156250002,0.6138378906249999,86.78200000000001,11.21074020749745,15.2,1.1661903789690602
6,0.0101025390625,0.501171875,0.2791015625,1.627587890625,0.601416015625,0.02348974609375,0.6138378906249999,80.41,16.644989636524258,16.0,1.5491933384829668
7,0.0101025390625,0.501171875,0.2791015625,1.627587890625,0.601416015625,0.027482910156250002,0.627373046875,82.94800000000001,13.446324999790834,16.0,1.5491933384829668
8,0.051118164062500006,0.7574218750000001,0.3685546875,2.197021484375,0.929248046875,0.02348974609375,0.627373046875,88.446,10.66594505892469,13.6,2.8000000000000003
9,0.0451025390625,0.901171875,0.4791015625,2.477587890625,0.151416015625,0.01298291015625,0.683837890625,76.822,23.676908075168935,17.0,2.0
10,0.016118164062500002,0.901171875,0.4791015625,2.477587890625,0.151416015625,0.01298291015625,0.683837890625,20.0,40.0,1.8,5.6
11,0.0451025390625,0.357421875,0.4791015625,2.477587890625,0.151416015625,0.01298291015625,0.683837890625,76.822,23.676908075168935,17.0,2.0
12,0.0451025390625,0.901171875,0.16855468750000002,2.477587890625,0.151416015625,0.01298291015625,0.683837890625,64.71400000000001,22.371552114236508,17.6,2.3323807579381204
13,0.0451025390625,0.901171875,0.4791015625,1.347021484375,0.151416015625,0.01298291015625,0.683837890625,80.862,18.292656887396102,16.4,1.7435595774162693
14,0.0451025390625,0.901171875,0.4791015625,2.477587890625,0.479248046875,0.01298291015625,0.683837890625,76.822,23.676908075168935,17.0,2.0
15,0.0451025390625,0.901171875,0.4791015625,2.477587890625,0.151416015625,0.00898974609375,0.683837890625,69.45200000000001,22.587856383464107,17.6,2.3323807579381204
16,0.0451025390625,0.901171875,0.4791015625,2.477587890625,0.151416015625,0.01298291015625,0.697373046875,71.018,22.442607156923636,17.6,2.3323807579381204
17,0.016118164062500002,0.357421875,0.16855468750000002,1.347021484375,0.479248046875,0.00898974609375,0.697373046875,20.0,40.0,2.2,6.400000000000001
18,0.0626025390625,0.30117187500000003,0.1791015625,1.202587890625,0.37641601562500004,0.00573291015625,0.648837890625,91.08800000000001,10.30734378974525,16.0,1.5491933384829668
19,0.033618164062500004,0.30117187500000003,0.1791015625,1.202587890625,0.37641601562500004,0.00573291015625,0.648837890625,50.748000000000005,26.309695095154563,17.8,1.9390719429665315
20,0.0626025390625,0.557421875,0.1791015625,1.202587890625,0.37641601562500004,0.00573291015625,0.648837890625,91.08800000000001,10.30734378974525,16.0,1.5491933384829668
21,0.0626025390625,0.30117187500000003,0.2685546875,1.202587890625,0.37641601562500004,0.00573291015625,0.648837890625,92.52599999999998,9.926084021405417,16.0,1.5491933384829668
22,0.0626025390625,0.30117187500000003,0.1791015625,0.9220214843750001,0.37641601562500004,0.00573291015625,0.648837890625,92.58600000000001,9.937063147630694,16.0,1.5491933384829668
23,0.0626025390625,0.30117187500000003,0.1791015625,1.202587890625,0.254248046875,0.00573291015625,0.648837890625,91.08800000000001,10.30734378974525,16.0,1.5491933384829668
24,0.0626025390625,0.30117187500000003,0.1791015625,1.202587890625,0.37641601562500004,0.03073974609375,0.648837890625,94.25999999999999,9.59831860275538,13.6,2.8000000000000003
25,0.0626025390625,0.30117187500000003,0.1791015625,1.202587890625,0.37641601562500004,0.00573291015625,0.5923730468749999,92.69800000000001,10.01615974313509,13.8,3.9191835884530852
26,0.033618164062500004,0.557421875,0.2685546875,0.9220214843750001,0.254248046875,0.03073974609375,0.5923730468749999,85.47200000000001,11.244167199041467,10.4,2.727636339397171
27,0.0276025390625,0.701171875,0.37910156250000004,2.052587890625,0.826416015625,0.02023291015625,0.7188378906249999,23.974,38.78415532147117,1.8,5.6
28,0.0686181640625,0.701171875,0.37910156250000004,2.052587890625,0.826416015625,0.02023291015625,0.7188378906249999,83.87,11.740505951618951,16.0,1.5491933384829668
29,0.0276025390625,0.9574218750000001,0.37910156250000004,2.052587890625,0.826416015625,0.02023291015625,0.7188378906249999,23.974,38.78415532147117,1.8,5.6
30,0.0276025390625,0.701171875,0.46855468750000007,2.052587890625,0.826416015625,0.02023291015625,0.7188378906249999,25.188,38.69977281587064,5.8,8.541662601625049
31,0.0276025390625,0.701171875,0.37910156250000004,1.7720214843750002,0.826416015625,0.02023291015625,0.7188378906249999,25.158,38.71652381090017,5.8,8.541662601625049
32,0.0276025390625,0.701171875,0.37910156250000004,2.052587890625,0.704248046875,0.02023291015625,0.7188378906249999,23.974,38.78415532147117,1.8,5.6
33,0.0276025390625,0.701171875,0.37910156250000004,2.052587890625,0.826416015625,0.01623974609375,0.7188378906249999,20.0,40.0,1.8,5.6
34,0.0276025390625,0.701171875,0.37910156250000004,2.052587890625,0.826416015625,0.02023291015625,0.662373046875,76.422,23.74992665251832,16.8,1.9390719429665315
35,0.0686181640625,0.9574218750000001,0.46855468750000007,1.7720214843750002,0.704248046875,0.01623974609375,0.662373046875,92.622,9.667664454251605,14.4,3.2000000000000006
36,0.0363525390625,0.201171875,0.4291015625,1.840087890625,0.938916015625,0.03110791015625,0.631337890625,92.92,9.603913785535562,13.6,2.33238075793812
37,0.042368164062500005,0.201171875,0.4291015625,1.840087890625,0.938916015625,0.03110791015625,0.631337890625,92.974,10.06389904559858,13.4,2.727636339397171
38,0.0363525390625,0.45742187500000003,0.4291015625,1.840087890625,0.938916015625,0.03110791015625,0.631337890625,92.92,9.603913785535562,13.4,2.727636339397171
39,0.0363525390625,0.201171875,0.1185546875,1.840087890625,0.938916015625,0.03110791015625,0.631337890625,89.64000000000001,9.972223423088755,14.4,1.2
40,0.0363525390625,0.201171875,0.4291015625,1.134521484375,0.938916015625,0.03110791015625,0.631337890625,86.434,11.104670368813295,12.8,2.4
41,0.0363525390625,0.201171875,0.4291015625,1.840087890625,0.591748046875,0.03110791015625,0.631337890625,92.92,9.603913785535562,13.6,2.33238075793812
42,0.0363525390625,0.201171875,0.4291015625,1.840087890625,0.938916015625,0.02711474609375,0.631337890625,85.38399999999999,11.460704341357031,14.0,2.0
43,0.0363525390625,0.201171875,0.4291015625,1.840087890625,0.938916015625,0.03110791015625,0.714873046875,80.53999999999999,16.222227960425162,16.2,1.5999999999999999
44,0.042368164062500005,0.45742187500000003,0.1185546875,1.134521484375,0.591748046875,0.02711474609375,0.714873046875,77.66,18.45076800569559,16.6,1.8547236990991407
