target,parameter,S1,S1_conf,ST,ST_conf,N
peak_mutiny,w1,0.4034571318526944,0.136420703059161,0.7286635653423893,0.16095517881990737,256
peak_mutiny,w2,0.0,0.0,0.0,0.0,256
peak_mutiny,w3,-0.009580140259209498,0.02290698261681211,0.02590486210942358,0.008254954238390306,256
peak_mutiny,w4,-0.004068483177162126,0.04503327863562105,0.05415758634849106,0.021801147924105174,256
peak_mutiny,w5_social,0.00046512069217313735,0.0006445241615084904,3.061700616657648e-05,2.9631665609892207e-05,256
peak_mutiny,despair_rate,0.09792289745212666,0.0855485875022186,0.3571329437112076,0.1155800496772936,256
peak_mutiny,rebel_threshold,0.1124135058806979,0.10084089726691829,0.31142018503614843,0.11327678356826298,256
collapse_quarter,w1,0.1938239593823546,0.19262866965281406,0.9890381699949577,0.1954160776954104,256
collapse_quarter,w2,-0.00259503582324738,0.0041880721577448295,0.000633388665227585,0.00032308991363904965,256
collapse_quarter,w3,0.0035012317883413966,0.034674612308852056,0.03599346090891067,0.030141100458175217,256
collapse_quarter,w4,-0.010473519958409462,0.0686293346848529,0.1123185643109165,0.055772537617347545,256
collapse_quarter,w5_social,0.00507305594103954,0.006978976103277778,0.0009589292082495863,0.0005806380813248213,256
collapse_quarter,despair_rate,0.015794810392625938,0.1094991662380244,0.5544521605130781,0.15616117070139915,256
collapse_quarter,rebel_threshold,-0.045060285975575175,0.1015665898209061,0.5188727022512716,0.20169157752736858,256
peak_mutiny,w1,0.4475166670479654,0.08424222718214518,0.7113043263897754,0.07196239026214132,1024
peak_mutiny,w2,0.0,0.0,0.0,0.0,1024
peak_mutiny,w3,-0.00505895306756823,0.012666804761184952,0.02334846311552985,0.004178437199410715,1024
peak_mutiny,w4,-0.006232903279822039,0.021050731377108223,0.05128819073319729,0.011319297984357763,1024
peak_mutiny,w5_social,-2.98295507515525e-05,0.00016843880714360234,7.262360394011767e-06,3.202440097257724e-06,1024
peak_mutiny,despair_rate,0.11386746677165865,0.04986952312216309,0.2939680084454802,0.047847756102734604,1024
peak_mutiny,rebel_threshold,0.13953440663762476,0.04978402193832808,0.3754936461444995,0.05214941354336487,1024
collapse_quarter,w1,0.27620521204627957,0.08559047519362359,0.8915397633375123,0.09585988114752926,1024
collapse_quarter,w2,8.372837747346608e-05,0.002213610341658855,0.0006971297515725896,0.00016357580825314102,1024
collapse_quarter,w3,0.0006195065682898934,0.015125707127980307,0.048176580325387255,0.016708876883464376,1024
collapse_quarter,w4,-0.013796565114385404,0.03264032602087353,0.11808704524255653,0.03409028763101672,1024
collapse_quarter,w5_social,-0.00017506711492860252,0.0028821202041631145,0.0010475148094778737,0.0002921528463056332,1024
collapse_quarter,despair_rate,0.021256244787467578,0.06486989837856744,0.5045963475723451,0.07330700929048525,1024
collapse_quarter,rebel_threshold,0.011741794187156243,0.06572470320878866,0.5467790681799032,0.08575992173510998,1024
peak_mutiny,w1,0.43763788299923356,0.05516741521646607,0.7053948668433676,0.05012897569448304,2048
peak_mutiny,w2,-5.328810183494516e-06,1.033821552908449e-05,0.00016862831190127774,0.0003271491707737776,2048
peak_mutiny,w3,0.014717645524081927,0.011400865537606929,0.028506067639718583,0.003749279078420903,2048
peak_mutiny,w4,0.029293328805669098,0.016446417187765846,0.050612689694424874,0.008350833105440722,2048
peak_mutiny,w5_social,6.281770292165557e-05,0.0002287091346858504,1.6412180457987154e-05,7.900340552892532e-06,2048
peak_mutiny,despair_rate,0.1386267304909617,0.030550492009911105,0.3091948900632371,0.03156056353983182,2048
peak_mutiny,rebel_threshold,0.14467882499018694,0.037891661741271,0.3469373035572642,0.03085784472593955,2048
collapse_quarter,w1,0.2775170024888613,0.0666642831536337,0.9105894603244604,0.06278661346103097,2048
collapse_quarter,w2,-0.0007108731431901757,0.0015413051393989442,0.000876081292135913,0.00027137910309337203,2048
collapse_quarter,w3,0.012337556802869956,0.014977618431417766,0.06553761973862889,0.014999281181065069,2048
collapse_quarter,w4,0.02969079585500628,0.02340475056886886,0.09691211253607471,0.022136350184715544,2048
collapse_quarter,w5_social,0.0022905418670805407,0.002357558150352283,0.0011344129552016307,0.00021061738871161177,2048
collapse_quarter,despair_rate,0.07530207140190867,0.046305858863892976,0.4975050007260248,0.05368581389524943,2048
collapse_quarter,rebel_threshold,0.04165003614539512,0.050984107381187325,0.5339922140898843,0.05313922254064657,2048
