row_index,w1,intervention_quarter,intervention_coverage,rebel_threshold,peak_mutiny_mean,peak_mutiny_std,collapse_quarter_mean,collapse_quarter_std
0,0.010025634765625,19.05859375,0.88507080078125,0.66686767578125,53.69199999999999,0.0,9.6,0.0
1,0.021544189453125,19.05859375,0.88507080078125,0.66686767578125,75.206,0.0,12.4,0.0
2,0.010025634765625,21.37109375,0.88507080078125,0.66686767578125,61.064,0.0,9.6,0.0
3,0.010025634765625,19.05859375,0.7960327148437499,0.66686767578125,53.898,0.0,9.6,0.0
4,0.010025634765625,19.05859375,0.88507080078125,0.6971508789062499,42.464,0.0,6.4,0.0
5,0.021544189453125,21.37109375,0.7960327148437499,0.6971508789062499,66.054,0.0,13.0,0.0
6,0.045025634765625,35.05859375,0.5350708007812499,0.59686767578125,92.492,0.0,13.4,0.0
7,0.056544189453125004,35.05859375,0.5350708007812499,0.59686767578125,94.852,0.0,13.4,0.0
8,0.045025634765625,5.37109375,0.5350708007812499,0.59686767578125,70.268,0.0,13.6,0.0
9,0.045025634765625,35.05859375,0.44603271484374996,0.59686767578125,92.492,0.0,13.4,0.0
10,0.045025634765625,35.05859375,0.5350708007812499,0.62715087890625,92.178,0.0,14.2,0.0
11,0.056544189453125004,5.37109375,0.44603271484374996,0.62715087890625,75.268,0.0,14.0,0.0
12,0.062525634765625,11.05859375,0.71007080078125,0.70186767578125,61.32000000000001,0.0,13.6,0.0
13,0.074044189453125,11.05859375,0.71007080078125,0.70186767578125,61.176,0.0,13.2,0.0
14,0.062525634765625,13.37109375,0.71007080078125,0.70186767578125,60.532,0.0,13.4,0.0
15,0.062525634765625,11.05859375,0.9710327148437499,0.70186767578125,51.058,0.0,13.8,0.0
16,0.062525634765625,11.05859375,0.71007080078125,0.59215087890625,59.696000000000005,0.0,11.0,0.0
17,0.074044189453125,13.37109375,0.9710327148437499,0.59215087890625,63.56600000000001,0.0,13.0,0.0
18,0.027525634765625,27.05859375,0.36007080078125,0.6318676757812499,93.784,0.0,14.8,0.0
19,0.039044189453125,27.05859375,0.36007080078125,0.6318676757812499,95.284,0.0,14.4,0.0
20,0.027525634765625,29.37109375,0.36007080078125,0.6318676757812499,93.784,0.0,14.8,0.0
21,0.027525634765625,27.05859375,0.62103271484375,0.6318676757812499,93.784,0.0,14.8,0.0
22,0.027525634765625,27.05859375,0.36007080078125,0.66215087890625,92.214,0.0,15.6,0.0
23,0.039044189453125,29.37109375,0.62103271484375,0.66215087890625,93.958,0.0,15.0,0.0
24,0.036275634765625,7.05859375,0.62257080078125,0.64936767578125,64.95599999999999,0.0,14.0,0.0
25,0.030294189453125002,7.05859375,0.62257080078125,0.64936767578125,65.19200000000001,0.0,14.2,0.0
26,0.036275634765625,25.37109375,0.62257080078125,0.64936767578125,91.664,0.0,15.0,0.0
27,0.036275634765625,7.05859375,0.88353271484375,0.64936767578125,36.922,0.0,9.0,0.0
28,0.036275634765625,7.05859375,0.62257080078125,0.6096508789062499,66.24600000000001,0.0,13.4,0.0
29,0.030294189453125002,25.37109375,0.88353271484375,0.6096508789062499,92.42,0.0,14.0,0.0
30,0.071275634765625,23.05859375,0.9725708007812499,0.7193676757812499,94.562,0.0,15.0,0.0
31,0.065294189453125,23.05859375,0.9725708007812499,0.7193676757812499,92.538,0.0,15.4,0.0
32,0.071275634765625,9.37109375,0.9725708007812499,0.7193676757812499,54.576,0.0,13.6,0.0
33,0.071275634765625,23.05859375,0.53353271484375,0.7193676757812499,94.562,0.0,15.0,0.0
34,0.071275634765625,23.05859375,0.9725708007812499,0.67965087890625,94.106,0.0,14.6,0.0
35,0.065294189453125,9.37109375,0.53353271484375,0.67965087890625,70.19000000000001,0.0,14.8,0.0
36,0.053775634765625004,15.05859375,0.44757080078125,0.61436767578125,86.90599999999999,0.0,14.0,0.0
37,0.047794189453125004,15.05859375,0.44757080078125,0.61436767578125,87.352,0.0,14.0,0.0
38,0.053775634765625004,17.37109375,0.44757080078125,0.61436767578125,96.792,0.0,14.0,0.0
39,0.053775634765625004,15.05859375,0.7085327148437499,0.61436767578125,81.272,0.0,14.0,0.0
40,0.053775634765625004,15.05859375,0.44757080078125,0.71465087890625,71.194,0.0,15.8,0.0
41,0.047794189453125004,17.37109375,0.7085327148437499,0.71465087890625,68.04,0.0,16.0,0.0
42,0.018775634765625,31.05859375,0.79757080078125,0.68436767578125,66.52000000000001,0.0,13.2,0.0
43,0.012794189453125,31.05859375,0.79757080078125,0.68436767578125,59.34400000000001,0.0,9.8,0.0
44,0.018775634765625,33.37109375,0.79757080078125,0.68436767578125,66.52000000000001,0.0,13.2,0.0
45,0.018775634765625,31.05859375,0.35853271484375,0.68436767578125,66.52000000000001,0.0,13.2,0.0
46,0.018775634765625,31.05859375,0.79757080078125,0.64465087890625,87.358,0.0,15.8,0.0
47,0.012794189453125,33.37109375,0.35853271484375,0.64465087890625,77.598,0.0,12.6,0.0
48,0.023150634765625,9.05859375,0.40382080078125,0.71061767578125,53.51800000000001,0.0,13.4,0.0
49,0.06091918945312501,9.05859375,0.40382080078125,0.71061767578125,75.67999999999999,0.0,15.4,0.0
50,0.023150634765625,31.37109375,0.40382080078125,0.71061767578125,63.66400000000001,0.0,13.2,0.0
