target,parameter,S1,S1_conf,ST,ST_conf
peak_mutiny,w1,0.4475166670479654,0.08424222718214518,0.7113043263897754,0.07196239026214132
peak_mutiny,w2,0.0,0.0,0.0,0.0
peak_mutiny,w3,-0.00505895306756823,0.012666804761184952,0.02334846311552985,0.004178437199410715
peak_mutiny,w4,-0.006232903279822039,0.021050731377108223,0.05128819073319729,0.011319297984357763
peak_mutiny,w5_social,-2.98295507515525e-05,0.00016843880714360234,7.262360394011767e-06,3.202440097257724e-06
peak_mutiny,despair_rate,0.11386746677165865,0.04986952312216309,0.2939680084454802,0.047847756102734604
peak_mutiny,rebel_threshold,0.13953440663762476,0.04978402193832808,0.3754936461444995,0.05214941354336487
collapse_quarter,w1,0.27620521204627957,0.08559047519362359,0.8915397633375123,0.09585988114752926
collapse_quarter,w2,8.372837747346608e-05,0.002213610341658855,0.0006971297515725896,0.00016357580825314102
collapse_quarter,w3,0.0006195065682898934,0.015125707127980307,0.048176580325387255,0.016708876883464376
collapse_quarter,w4,-0.013796565114385404,0.03264032602087353,0.11808704524255653,0.03409028763101672
collapse_quarter,w5_social,-0.00017506711492860252,0.0028821202041631145,0.0010475148094778737,0.0002921528463056332
collapse_quarter,despair_rate,0.021256244787467578,0.06486989837856744,0.5045963475723451,0.07330700929048525
collapse_quarter,rebel_threshold,0.011741794187156243,0.06572470320878866,0.5467790681799032,0.08575992173510998
