row_index,w1,w4,peak_mutiny_mean,peak_mutiny_std,collapse_quarter_mean,collapse_quarter_std
0,0.01005126953125,1.3333251953125,60.0,48.98979485566356,8.0,7.3484692283495345
1,0.061389160156250004,1.3333251953125,98.328,2.564140401772104,12.6,3.7202150475476548
2,0.01005126953125,2.0696044921875,60.0,48.98979485566356,8.4,7.683749084919419
3,0.01005126953125,2.0696044921875,60.0,48.98979485566356,8.4,7.683749084919419
4,0.061389160156250004,1.3333251953125,98.328,2.564140401772104,12.6,3.7202150475476548
5,0.061389160156250004,2.0696044921875,95.48,6.3473490529511585,13.8,2.6381811916545836
6,0.04505126953125001,2.1833251953125,82.676,27.25947365596042,14.8,2.4
7,0.02638916015625,2.1833251953125,60.0,48.98979485566356,7.6,7.031358332498778
8,0.04505126953125001,1.2196044921875,95.09,6.6142694229975225,14.6,2.33238075793812
9,0.04505126953125001,1.2196044921875,95.09,6.6142694229975225,14.6,2.33238075793812
10,0.02638916015625,2.1833251953125,60.0,48.98979485566356,7.6,7.031358332498778
11,0.02638916015625,1.2196044921875,69.816,40.09358332701132,10.8,6.013318551349164
12,0.06255126953125001,0.9083251953125,98.17,3.6600000000000024,12.0,3.8987177379235853
13,0.07888916015625,0.9083251953125,99.726,0.4856171331409121,11.2,4.833218389437829
14,0.06255126953125001,2.4946044921875,96.90400000000001,5.158505985263561,14.4,2.244994432064365
15,0.06255126953125001,2.4946044921875,96.90400000000001,5.158505985263561,14.4,2.244994432064365
16,0.07888916015625,0.9083251953125,99.726,0.4856171331409121,11.2,4.833218389437829
17,0.07888916015625,2.4946044921875,95.222,5.893414629906842,12.2,3.7094473981982814
18,0.02755126953125,1.7583251953125,61.962,46.69001794816533,7.4,6.858571279792899
19,0.04388916015625,1.7583251953125,88.744,22.38720938393171,14.8,2.4
20,0.02755126953125,1.6446044921875,63.6,44.942630096602045,7.4,6.858571279792899
21,0.02755126953125,1.6446044921875,63.6,44.942630096602045,7.4,6.858571279792899
22,0.04388916015625,1.7583251953125,88.744,22.38720938393171,14.8,2.4
23,0.04388916015625,1.6446044921875,89.924,19.8236481001858,14.8,2.4
24,0.03630126953125,1.1208251953125,80.756,37.294681980142954,10.8,6.013318551349164
25,0.01763916015625,1.1208251953125,60.104,48.862698083507425,7.4,6.858571279792899
26,0.03630126953125,1.4321044921875,79.096,38.394385839599,10.8,6.013318551349164
27,0.03630126953125,1.4321044921875,79.096,38.394385839599,10.8,6.013318551349164
28,0.01763916015625,1.1208251953125,60.104,48.862698083507425,7.4,6.858571279792899
29,0.01763916015625,1.4321044921875,60.0,48.98979485566356,7.6,7.031358332498778
30,0.07130126953125,1.9708251953125,95.384,6.337944777291766,12.4,3.4409301068170506
31,0.05263916015625,1.9708251953125,98.842,1.4689642609675715,14.8,2.4
32,0.07130126953125,2.2821044921875,97.07000000000001,4.201447369657272,13.4,3.2619012860600183
33,0.07130126953125,2.2821044921875,97.07000000000001,4.201447369657272,13.4,3.2619012860600183
34,0.05263916015625,1.9708251953125,98.842,1.4689642609675715,14.8,2.4
35,0.05263916015625,2.2821044921875,97.424,5.087249158435235,14.8,2.4
36,0.05380126953125001,1.5458251953125002,96.038,4.852671017079151,14.0,2.3664319132398464
37,0.03513916015625,1.5458251953125002,76.314,38.81889210165586,10.8,6.013318551349164
38,0.05380126953125001,1.0071044921875,95.708,6.428133166013286,13.2,3.1240998703626617
39,0.05380126953125001,1.0071044921875,95.708,6.428133166013286,13.2,3.1240998703626617
40,0.03513916015625,1.5458251953125002,76.314,38.81889210165586,10.8,6.013318551349164
41,0.03513916015625,1.0071044921875,80.26,37.75920073306637,10.8,6.013318551349164
42,0.01880126953125,2.3958251953125,60.0,48.98979485566356,8.0,7.3484692283495345
43,0.07013916015625,2.3958251953125,98.08,3.123235501847402,13.4,3.2619012860600183
44,0.01880126953125,1.8571044921875,60.0,48.98979485566356,7.8,7.19444229944198
45,0.01880126953125,1.8571044921875,60.0,48.98979485566356,7.8,7.19444229944198
46,0.07013916015625,2.3958251953125,98.08,3.123235501847402,13.4,3.2619012860600183
47,0.07013916015625,1.8571044921875,95.47800000000001,6.163033019544841,12.2,3.7094473981982814
48,0.02317626953125,0.8020751953125,75.186,38.73161995062949,10.8,6.013318551349164
49,0.030764160156250005,0.8020751953125,79.436,39.73301377947563,10.8,6.013318551349164
50,0.02317626953125,2.1758544921875,60.0,48.98979485566356,7.8,7.19444229944198
51,0.02317626953125,2.1758544921875,60.0,48.98979485566356,7.8,7.19444229944198
52,0.030764160156250005,0.8020751953125,79.436,39.73301377947563,10.8,6.013318551349164
53,0.030764160156250005,2.1758544921875,60.196000000000005,48.750729881715614,7.4,6.858571279792899
54,0.058176269531250005,1.6520751953125,94.252,7.162855296597858,13.6,2.9393876913398134
55,0.06576416015625,1.6520751953125,96.40799999999999,5.421599026117661,12.4,3.4409301068170506
56,0.058176269531250005,1.3258544921875002,96.124,5.102911325900149,13.0,3.40587727318528
57,0.058176269531250005,1.3258544921875002,96.124,5.102911325900149,13.0,3.40587727318528
58,0.06576416015625,1.6520751953125,96.40799999999999,5.421599026117661,12.4,3.4409301068170506
59,0.06576416015625,1.3258544921875002,98.53,2.939999999999998,12.0,3.8987177379235853
60,0.07567626953125,1.2270751953125,99.694,0.6120000000000005,11.6,4.363484845854286
61,0.01326416015625,1.2270751953125,60.0,48.98979485566356,7.8,7.19444229944198
62,0.07567626953125,1.7508544921875,96.78399999999999,5.902116908364318,12.0,3.8987177379235853
63,0.07567626953125,1.7508544921875,96.78399999999999,5.902116908364318,12.0,3.8987177379235853
64,0.01326416015625,1.2270751953125,60.0,48.98979485566356,7.8,7.19444229944198
65,0.01326416015625,1.7508544921875,60.0,48.98979485566356,8.0,7.3484692283495345
66,0.04067626953125,2.0770751953125,74.83200000000001,37.23974994545478,10.8,6.013318551349164
67,0.048264160156250006,2.0770751953125,93.11999999999999,12.878881939050455,14.8,2.4
68,0.04067626953125,0.9008544921875,90.81800000000001,13.432310895746864,14.6,2.33238075793812
69,0.04067626953125,0.9008544921875,90.81800000000001,13.432310895746864,14.6,2.33238075793812
70,0.048264160156250006,2.0770751953125,93.11999999999999,12.878881939050455,14.8,2.4
71,0.048264160156250006,0.9008544921875,95.95599999999999,4.97434055931035,13.8,2.6381811916545836
72,0.03192626953125,1.4395751953125,74.498,38.74284470711979,10.8,6.013318551349164
73,0.07451416015625,1.4395751953125,96.828,6.344,11.6,4.363484845854286
74,0.03192626953125,1.1133544921875,79.018,39.55473797157554,10.8,6.013318551349164
75,0.03192626953125,1.1133544921875,79.018,39.55473797157554,10.8,6.013318551349164
76,0.07451416015625,1.4395751953125,96.828,6.344,11.6,4.363484845854286
77,0.07451416015625,1.1133544921875,99.718,0.5639999999999986,11.6,4.363484845854286
78,0.06692626953125,2.2895751953125,98.05,2.7624192295884393,13.6,2.9393876913398134
79,0.039514160156250006,2.2895751953125,67.83,41.29934139910708,10.8,6.013318551349164
80,0.06692626953125,1.9633544921875,97.002,5.2373290902902045,13.4,3.2619012860600183
81,0.06692626953125,1.9633544921875,97.002,5.2373290902902045,13.4,3.2619012860600183
82,0.039514160156250006,2.2895751953125,67.83,41.29934139910708,10.8,6.013318551349164
83,0.039514160156250006,1.9633544921875,75.242,37.51825603622854,10.8,6.013318551349164
84,0.049426269531250004,1.0145751953125,94.908,6.491663577235037,13.8,2.6381811916545836
85,0.05701416015625001,1.0145751953125,99.75800000000001,0.48399999999999743,12.6,3.7202150475476548
86,0.049426269531250004,1.5383544921875,98.206,2.34049225591541,14.6,2.33238075793812
87,0.049426269531250004,1.5383544921875,98.206,2.34049225591541,14.6,2.33238075793812
88,0.05701416015625001,1.0145751953125,99.75800000000001,0.48399999999999743,12.6,3.7202150475476548
89,0.05701416015625001,1.5383544921875,94.166,7.215138529508634,13.6,2.9393876913398134
90,0.01442626953125,1.8645751953125,60.0,48.98979485566356,8.0,7.3484692283495345
91,0.022014160156250004,1.8645751953125,60.0,48.98979485566356,7.8,7.19444229944198
92,0.01442626953125,2.3883544921875,60.0,48.98979485566356,8.2,7.520638270785266
93,0.01442626953125,2.3883544921875,60.0,48.98979485566356,8.2,7.520638270785266
94,0.022014160156250004,1.8645751953125,60.0,48.98979485566356,7.8,7.19444229944198
95,0.022014160156250004,2.3883544921875,60.0,48.98979485566356,8.0,7.3484692283495345
96,0.016613769531250003,1.0677001953125,60.08200000000001,48.88953769468474,7.4,6.858571279792899
97,0.06357666015625,1.0677001953125,98.42999999999999,3.1399999999999975,12.0,3.8987177379235853
98,0.016613769531250003,0.9539794921875,60.202,48.74344280003209,7.4,6.858571279792899
99,0.016613769531250003,0.9539794921875,60.202,48.74344280003209,7.4,6.858571279792899
100,0.06357666015625,1.0677001953125,98.42999999999999,3.1399999999999975,12.0,3.8987177379235853
101,0.06357666015625,0.9539794921875,98.22200000000001,3.556,12.0,3.8987177379235853
102,0.051613769531250006,1.9177001953125,99.0,1.22500612243368,14.8,2.4
103,0.028576660156250003,1.9177001953125,60.95,47.8498693833118,7.4,6.858571279792899
104,0.051613769531250006,1.8039794921875,98.548,1.7790491842554528,14.8,2.4
105,0.051613769531250006,1.8039794921875,98.548,1.7790491842554528,14.8,2.4
106,0.028576660156250003,1.9177001953125,60.95,47.8498693833118,7.4,6.858571279792899
107,0.028576660156250003,1.8039794921875,62.452,46.14985607778208,7.4,6.858571279792899
108,0.06911376953125001,1.4927001953125,97.764,4.140384523205543,12.0,3.8987177379235853
109,0.046076660156250004,1.4927001953125,94.71,8.37254083298493,14.6,2.33238075793812
110,0.06911376953125001,1.3789794921875,97.776,4.448000000000002,12.0,3.8987177379235853
111,0.06911376953125001,1.3789794921875,97.776,4.448000000000002,12.0,3.8987177379235853
112,0.046076660156250004,1.4927001953125,94.71,8.37254083298493,14.6,2.33238075793812
113,0.046076660156250004,1.3789794921875,95.474,6.411756701560033,14.6,2.33238075793812
114,0.034113769531250004,2.3427001953125,61.492,47.22143852107854,7.4,6.858571279792899
115,0.011076660156250001,2.3427001953125,60.0,48.98979485566356,8.4,7.683749084919419
116,0.034113769531250004,2.2289794921875,62.812,45.76231392751026,7.4,6.858571279792899
117,0.034113769531250004,2.2289794921875,62.812,45.76231392751026,7.4,6.858571279792899
118,0.011076660156250001,2.3427001953125,60.0,48.98979485566356,8.4,7.683749084919419
119,0.011076660156250001,2.2289794921875,60.0,48.98979485566356,8.4,7.683749084919419
120,0.042863769531250005,1.2802001953125,91.59,14.606450629773134,14.6,2.33238075793812
121,0.037326660156250004,1.2802001953125,81.078,37.31130145143693,10.8,6.013318551349164
122,0.042863769531250005,2.4414794921875,70.578,38.58547415802999,10.8,6.013318551349164
123,0.042863769531250005,2.4414794921875,70.578,38.58547415802999,10.8,6.013318551349164
124,0.037326660156250004,1.2802001953125,81.078,37.31130145143693,10.8,6.013318551349164
125,0.037326660156250004,2.4414794921875,63.508,45.03625490646397,7.4,6.858571279792899
126,0.07786376953125,2.1302001953125,94.728,6.460227240585272,12.0,3.8987177379235853
127,0.07232666015625,2.1302001953125,95.838,5.650466883364596,12.4,3.4409301068170506
128,0.07786376953125,1.5914794921875002,98.306,3.3879999999999995,11.6,4.363484845854286
129,0.07786376953125,1.5914794921875002,98.306,3.3879999999999995,11.6,4.363484845854286
130,0.07232666015625,2.1302001953125,95.838,5.650466883364596,12.4,3.4409301068170506
131,0.07232666015625,1.5914794921875002,97.45,5.090005893906216,12.0,3.8987177379235853
132,0.06036376953125001,0.8552001953125,98.724,2.551999999999998,12.0,3.8987177379235853
133,0.019826660156250002,0.8552001953125,66.78,42.07461942786886,10.8,6.013318551349164
134,0.06036376953125001,2.0164794921875,95.642,5.949273569100683,13.8,2.6381811916545836
135,0.06036376953125001,2.0164794921875,95.642,5.949273569100683,13.8,2.6381811916545836
136,0.019826660156250002,0.8552001953125,66.78,42.07461942786886,10.8,6.013318551349164
137,0.019826660156250002,2.0164794921875,60.0,48.98979485566356,7.8,7.19444229944198
138,0.025363769531250004,1.7052001953125,60.205999999999996,48.738585781698674,7.4,6.858571279792899
139,0.054826660156250005,1.7052001953125,96.566,4.302583409999159,14.0,2.3664319132398464
140,0.025363769531250004,1.1664794921875,69.248,40.40225261046716,10.8,6.013318551349164
141,0.025363769531250004,1.1664794921875,69.248,40.40225261046716,10.8,6.013318551349164
142,0.054826660156250005,1.7052001953125,96.566,4.302583409999159,14.0,2.3664319132398464
143,0.054826660156250005,1.1664794921875,94.546,6.875421732519394,13.6,2.9393876913398134
144,0.02098876953125,1.5989501953125,60.00599999999999,48.98244730513166,7.4,6.858571279792899
145,0.024201660156250002,1.5989501953125,60.224000000000004,48.7167394639666,7.4,6.858571279792899
146,0.02098876953125,1.4852294921875,60.072,48.90174573570968,7.4,6.858571279792899
147,0.02098876953125,1.4852294921875,60.072,48.90174573570968,7.4,6.858571279792899
148,0.024201660156250002,1.5989501953125,60.224000000000004,48.7167394639666,7.4,6.858571279792899
149,0.024201660156250002,1.4852294921875,61.878,46.78405215455369,7.4,6.858571279792899
150,0.05598876953125,2.4489501953125,99.244,1.4674140519975933,14.8,2.4
151,0.05920166015625001,2.4489501953125,98.062,3.4528620012968965,14.6,2.0591260281974
152,0.05598876953125,2.3352294921875,98.934,2.009334218093147,14.6,2.0591260281974
153,0.05598876953125,2.3352294921875,98.934,2.009334218093147,14.6,2.0591260281974
154,0.05920166015625001,2.4489501953125,98.062,3.4528620012968965,14.6,2.0591260281974
155,0.05920166015625001,2.3352294921875,97.69,3.7721823921968562,14.6,2.0591260281974
156,0.07348876953125,1.1739501953125,98.284,3.4319999999999995,11.6,4.363484845854286
157,0.04170166015625001,1.1739501953125,90.24,16.665000450045,14.6,2.33238075793812
158,0.07348876953125,1.0602294921875,99.328,1.344,11.6,4.363484845854286
159,0.07348876953125,1.0602294921875,99.328,1.344,11.6,4.363484845854286
160,0.04170166015625001,1.1739501953125,90.24,16.665000450045,14.6,2.33238075793812
161,0.04170166015625001,1.0602294921875,91.442,13.299934435928623,14.6,2.33238075793812
162,0.03848876953125,2.0239501953125,71.77799999999999,39.22034084502581,10.8,6.013318551349164
163,0.07670166015625,2.0239501953125,95.21600000000001,5.921978047916081,12.0,3.8987177379235853
164,0.03848876953125,1.9102294921875,74.548,38.192031839115344,10.8,6.013318551349164
