timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
1785882962672,0,v1,0.01,0.2,0.1,2.4788,0.1,0.003,0.1194,0.00214,0.72,0,36,90.61,0.323,1,0,0.0,0.0,1,30,5922,161120.5,0.0,-1,100.0
1785882963555,1,v1,0.01,0.2,0.1,1.5993,0.1,0.003,0.2321,0.003199,0.72,0,22,31.83,0.529,1,0,0.0,0.0,1,30,5409,141196.5,0.0,-1,100.0
1785882965228,2,v1,0.01,0.2,0.1,1.9013,0.1,0.003,0.0849,0.003397,0.72,0,4,31.9,0.615,1,2197,3.0,2.625,1,30,5934,155727.9,100.0,26,100.0
1785882966620,3,v1,0.01,0.2,0.1,1.8667,0.1,0.003,0.0851,0.001724,0.72,0,23,73.81,0.571,1,0,0.0,0.0,1,30,6384,184156.6,0.0,-1,100.0
1785882968462,4,v1,0.01,0.2,0.1,2.4487,0.1,0.003,0.2443,0.00256,0.72,0,10,61.32,0.817,1,3602,9.0,5.552,1,30,7479,199891.9,0.0,-1,100.0
1785882969556,5,v1,0.01,0.2,0.1,1.9375,0.1,0.003,0.2243,0.002412,0.72,0,22,36.56,0.985,1,0,0.0,0.0,1,30,5576,151225.9,0.0,-1,100.0
1785882970913,6,v1,0.01,0.2,0.1,2.3775,0.1,0.003,0.1387,0.003465,0.72,0,31,93.11,0.472,1,0,0.0,0.0,1,30,6059,168932.1,0.0,-1,100.0
1785882963095,7,v1,0.01,0.2,0.1,1.3354,0.1,0.003,0.1696,0.003362,0.72,0,16,81.98,0.393,1,1235,15.0,12.278,1,30,6219,177817.2,100.0,26,99.9
1785882964616,8,v1,0.01,0.2,0.1,1.1097,0.1,0.003,0.2037,0.001704,0.72,0,22,59.42,0.806,1,0,4.486,4.486,1,30,6453,174506.3,100.0,19,98.36
1785882966049,9,v1,0.01,0.2,0.1,1.5968,0.1,0.003,0.1897,0.001654,0.72,0,33,82.15,0.491,1,0,0.0,0.0,1,30,6317,162423.9,100.0,25,100.0
