timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
1786420960626,0,v1,0.0791,0.492,0.2388,2.3005,0.1292,0.003,0.1696,0.001318,0.719,0,6,94.51,0.951,1,0,5.0,5.0,0,30,5922,281203.2,85.67,18,5.03
1786420962617,1,v1,0.0429,0.8219,0.4642,1.0514,0.3946,0.003,0.1841,0.002494,0.703,0,35,28.67,0.498,1,3,4.645,4.63,0,30,5409,298362.3,18.17,-1,9.52
1786420964484,2,v1,0.0553,0.8835,0.1699,1.0528,0.5046,0.003,0.1433,0.001619,0.636,1,24,80.45,0.457,1,0,17.852,17.852,0,30,5934,235113.1,85.25,17,6.83
1786420966629,3,v1,0.0539,0.3624,0.1703,1.9435,0.4485,0.003,0.2265,0.003455,0.683,0,4,92.7,0.667,1,0,3.0,3.0,0,30,6384,331444.4,51.42,18,12.91
1786420968292,4,v1,0.0779,0.6227,0.4887,1.6781,0.765,0.003,0.1271,0.00335,0.648,1,31,88.82,0.434,1,0,18.505,18.505,0,30,7479,219176.1,87.72,16,12.93
1786420970124,5,v1,0.0568,0.5767,0.4486,1.1518,0.9813,0.003,0.1966,0.001774,0.681,0,14,47.04,0.73,1,2381,13.0,8.189,0,30,5576,278163.6,48.71,18,6.83
1786420972268,6,v1,0.075,0.9047,0.2774,2.3536,0.3212,0.003,0.0641,0.003634,0.643,0,10,60.92,0.513,1,2338,9.0,6.216,0,30,6059,312438.7,60.24,17,13.53
1786420961506,7,v1,0.032,0.8727,0.3392,2.117,0.2201,0.003,0.1084,0.001752,0.598,1,12,72.98,0.452,1,3136,11.0,5.35,0,30,6219,352951.1,44.96,19,6.87
1786420963962,8,v1,0.0228,0.3563,0.4075,1.6376,0.751,0.003,0.1108,0.003664,0.712,0,20,42.33,0.805,1,2991,19.0,10.569,0,30,6453,370364.5,0.0,-1,13.39
1786420965739,9,v1,0.0428,0.3407,0.3795,2.1207,0.3449,0.003,0.1875,0.001599,0.614,0,26,77.12,0.786,1,0,19.455,19.455,0,30,6317,273914.4,84.36,18,6.76
1786420968055,10,v1,0.0793,0.4952,0.2507,1.9386,0.4274,0.003,0.133,0.003183,0.703,1,9,63.49,0.762,1,5796,8.0,0.231,0,30,6132,356467.7,2.71,-1,12.64
1786420970209,11,v1,0.0269,0.486,0.4206,0.8444,0.624,0.003,0.2047,0.003517,0.67,1,34,63.67,0.76,1,0,0.0,0.0,0,30,5901,344942.8,0.0,-1,13.0
1786420972798,12,v1,0.0145,0.5282,0.2967,1.0936,0.9528,0.003,0.0525,0.002585,0.67,1,33,69.9,0.929,1,0,0.0,0.0,0,30,6232,369167.3,0.0,-1,9.37
1786420975706,13,v1,0.0288,0.8305,0.4447,0.9981,0.2076,0.003,0.1332,0.002414,0.632,1,25,72.46,0.9,1,0,14.262,14.262,0,30,6309,314876.3,67.74,18,9.87
1786420962141,14,v1,0.018,0.3782,0.2992,1.5659,0.5929,0.003,0.164,0.002299,0.582,0,9,80.91,0.432,1,1812,8.0,6.129,0,30,5932,335942.4,15.26,-1,8.97
1786420964322,15,v1,0.0582,0.4512,0.2104,1.4308,0.4375,0.003,0.1376,0.001572,0.676,1,31,78.55,0.939,1,0,22.583,22.583,0,30,6182,295123.3,90.8,18,5.84
1786420965870,16,v1,0.0369,0.7667,0.1693,0.8618,0.4672,0.003,0.2444,0.001248,0.592,1,33,30.5,0.581,1,790,19.399,16.726,0,30,5915,223669.2,94.07,17,4.58
1786420967884,17,v1,0.0175,0.8005,0.3444,1.314,0.9983,0.003,0.0626,0.003216,0.633,0,23,48.54,0.503,1,0,0.0,0.0,0,30,5763,325797.4,0.0,-1,11.33
1786420970131,18,v1,0.0167,0.7569,0.3964,2.2385,0.2851,0.003,0.0824,0.003723,0.608,1,10,91.58,0.656,1,5594,9.0,0.674,0,30,6237,345320.0,0.0,-1,13.64
1786420972880,19,v1,0.0431,0.3373,0.1867,1.471,0.5853,0.003,0.2204,0.001995,0.681,1,11,21.31,0.717,1,6613,10.0,0.0,0,30,6742,403102.0,0.0,-1,7.46
1786420975553,20,v1,0.0441,0.5251,0.2851,2.2016,0.4959,0.003,0.067,0.002613,0.618,0,29,44.26,0.711,1,0,20.371,20.371,0,30,5972,266894.1,87.81,17,9.54
1786420962512,21,v1,0.0522,0.7505,0.3714,2.3813,0.8402,0.003,0.1154,0.002333,0.719,1,12,58.44,0.795,1,5378,11.0,0.02,0,30,5548,330546.5,0.06,-1,9.53
1786420964733,22,v1,0.0436,0.3615,0.278,1.162,0.7425,0.003,0.1363,0.003286,0.611,0,17,62.61,0.796,1,3213,16.0,8.663,0,30,6421,312017.2,41.35,17,12.12
