timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
1786434304195,4029,v1,0.0418,0.7578,0.4856,1.6009,0.8239,0.032,0.1842,0.003311,0.615,0,6,63.83,0.786,1,2404,5.0,3.781,0,30,6004,235212.8,50.06,14,12.41
1786434306564,4030,v1,0.0671,0.6123,0.4498,2.3631,0.6377,0.032,0.1593,0.001861,0.635,0,10,23.74,0.846,1,2939,9.0,5.927,0,30,6806,276411.0,50.76,14,6.71
1786434307879,4031,v1,0.07,0.5579,0.1857,2.1305,0.7986,0.032,0.1909,0.002248,0.667,1,23,96.47,0.733,1,0,16.388,16.388,0,30,5626,163955.3,89.53,15,8.32
1786434310015,4032,v1,0.0366,0.6195,0.3816,0.8196,0.1068,0.032,0.0507,0.003171,0.657,1,25,23.04,0.585,1,820,16.367,14.174,0,30,6580,201459.2,99.84,15,12.57
1786434311590,4033,v1,0.0185,0.7361,0.3348,1.6525,0.6116,0.032,0.1804,0.002858,0.595,0,13,37.88,0.758,1,1989,11.92,8.439,0,30,5925,200484.2,60.01,12,11.53
1786434313513,4034,v1,0.0793,0.9452,0.2708,0.8009,0.1693,0.032,0.0662,0.003081,0.626,1,6,97.79,0.475,1,3283,5.0,2.311,0,30,6200,276270.7,46.27,14,11.82
1786434303470,4035,v1,0.0178,0.2679,0.1117,1.5219,0.4236,0.032,0.0696,0.001362,0.689,1,16,90.74,0.457,1,3909,15.0,5.581,0,30,6360,343200.2,20.06,19,5.27
1786434304845,4036,v1,0.0593,0.4844,0.4702,1.708,0.7706,0.032,0.1671,0.002032,0.627,0,10,63.88,0.318,1,1054,9.0,7.653,0,30,5572,186979.2,72.33,14,7.81
1786434306789,4037,v1,0.0182,0.3375,0.1064,2.4341,0.812,0.032,0.0725,0.003454,0.6,0,31,47.27,0.562,1,0,17.954,17.954,0,30,6780,196001.3,94.65,15,12.77
1786434308216,4038,v1,0.0649,0.5119,0.1005,1.3002,0.7045,0.032,0.1314,0.003633,0.706,0,19,57.17,0.882,1,0,16.293,16.293,0,30,6074,179485.9,87.77,16,12.96
1786434310026,4039,v1,0.0484,0.4355,0.2124,1.6367,0.6468,0.032,0.2318,0.002986,0.621,0,24,59.58,0.894,1,0,16.092,16.092,0,30,6821,192436.7,97.27,15,11.1
