timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
1786081746445,1455,v1,0.0678,0.6788,0.2337,1.9761,0.3699,0.00907,0.1819,0.003484,0.638,0,25,31.4,0.407,1,0,13.525,13.525,1,50,9816,220665.1,100.0,13,13.16
1786081744036,1456,v1,0.0575,0.9746,0.3178,1.2341,0.5471,0.01793,0.2427,0.002188,0.629,1,10,33.07,0.543,1,6981,9.0,2.809,0,50,10333,565336.0,28.99,16,7.94
1786081746545,1457,v1,0.0349,0.9678,0.4093,1.3354,0.7791,0.00443,0.0899,0.001314,0.717,1,11,98.06,0.757,1,8495,10.0,1.654,1,50,10302,271878.8,100.0,24,84.33
1786081750615,1458,v1,0.0559,0.5612,0.3721,1.3714,0.1905,0.02481,0.2484,0.002677,0.711,1,16,81.44,0.823,1,9618,15.0,0.0,0,50,10030,594075.1,0.0,-1,10.66
1786081753630,1459,v1,0.0782,0.5522,0.4646,1.8396,0.3964,0.01255,0.0875,0.003204,0.631,0,31,91.0,0.315,1,0,17.7,17.7,0,50,10381,317971.7,87.31,15,12.33
1786081746032,1460,v1,0.0469,0.9652,0.2016,2.4798,0.1235,0.0286,0.0828,0.003688,0.691,1,10,77.35,0.757,1,10309,9.0,0.0,0,50,10684,624084.0,0.0,-1,13.83
1786081750219,1461,v1,0.0228,0.773,0.4157,1.3674,0.9002,0.00559,0.1213,0.001911,0.704,0,23,76.03,0.944,1,0,0.0,0.0,0,50,10564,613162.9,0.0,-1,7.29
1786081752473,1462,v1,0.0647,0.9431,0.18,1.9411,0.7238,0.02954,0.1944,0.002772,0.692,1,21,39.66,0.793,1,1372,16.628,13.859,0,50,8596,294284.7,89.2,16,10.21
1786081754731,1463,v1,0.041,0.8917,0.4722,2.0615,0.6887,0.02657,0.2493,0.003712,0.673,0,26,44.27,0.777,1,0,13.685,13.685,1,50,9441,215726.7,100.0,13,14.23
1786081744434,1464,v1,0.0233,0.9899,0.3125,2.1724,0.4561,0.01929,0.0809,0.003054,0.6,1,23,30.46,0.873,1,1482,13.189,11.088,1,50,9799,224503.9,100.0,13,25.58
1786081747286,1465,v1,0.034,0.9508,0.178,2.2704,0.5713,0.03018,0.1127,0.0027,0.589,0,35,26.67,0.926,1,0,17.942,17.942,0,50,10184,283867.3,97.56,15,10.23
1786081750275,1466,v1,0.0423,0.6887,0.3503,2.4,0.159,0.02019,0.2468,0.00312,0.62,0,36,61.8,0.518,1,0,19.769,19.769,0,50,10766,373050.5,84.05,15,11.48
1786081752658,1467,v1,0.0416,0.5807,0.3543,0.8354,0.8592,0.00544,0.0958,0.002243,0.61,1,11,41.28,0.417,1,3771,8.901,5.378,1,50,10676,202210.1,100.0,7,8.7
1786081745190,1468,v1,0.0253,0.9009,0.4389,1.3564,0.9272,0.00423,0.1599,0.003249,0.658,0,29,56.08,0.731,1,0,14.19,14.19,1,50,9997,227236.3,100.0,13,12.22
1786081749804,1469,v1,0.057,0.6168,0.4819,2.1735,0.1997,0.01114,0.1674,0.002816,0.583,1,12,45.41,0.79,1,9924,11.0,0.0,0,50,10214,613349.9,0.0,-1,10.31
1786081752234,1470,v1,0.0293,0.6125,0.2357,1.6162,0.553,0.00949,0.1593,0.003129,0.633,1,16,29.9,0.545,1,0,13.0,13.0,1,50,10423,230012.8,100.0,13,12.15
1786081756827,1471,v1,0.0679,0.7384,0.1583,1.8705,0.548,0.00618,0.0732,0.003397,0.587,1,11,28.39,0.823,1,11078,10.0,0.0,0,50,11429,661528.5,0.0,-1,12.97
1786081748622,1472,v1,0.0795,0.4559,0.1314,2.2514,0.652,0.02332,0.1919,0.001415,0.648,1,30,30.41,0.54,1,1287,17.927,15.666,0,50,10523,343891.3,98.15,16,5.19
1786081752418,1473,v1,0.035,0.22,0.2315,2.4608,0.29,0.0208,0.1229,0.003179,0.705,1,23,51.77,0.774,1,844,10.223,8.543,0,50,10299,555711.7,51.72,19,11.75
1786081755214,1474,v1,0.0241,0.7198,0.4656,2.0928,0.123,0.02236,0.0643,0.002101,0.699,0,11,65.72,0.709,1,4058,10.0,6.858,1,50,10541,253232.7,100.0,13,44.09
1786081759759,1475,v1,0.0277,0.8482,0.1017,1.0024,0.1097,0.01817,0.162,0.003066,0.586,1,15,72.44,0.914,1,10657,14.0,0.0,0,50,11161,635688.7,0.0,-1,12.34
1786081749060,1476,v1,0.0245,0.7499,0.2064,2.4053,0.5777,0.004,0.0569,0.003383,0.622,1,24,91.74,0.517,1,0,13.364,13.364,1,50,10592,233329.8,100.0,13,12.68
1786081752010,1477,v1,0.0578,0.4375,0.3614,1.9268,0.2938,0.01126,0.1436,0.001882,0.707,1,33,94.34,0.96,1,0,23.753,23.753,0,50,8563,411766.1,91.0,18,7.45
1786081755101,1478,v1,0.0638,0.6335,0.1825,1.7381,0.6883,0.02117,0.1944,0.00136,0.719,0,35,36.09,0.417,1,0,20.485,20.485,0,50,10718,374679.1,84.49,17,5.3
1786081759425,1479,v1,0.0193,0.3964,0.1078,1.9294,0.4985,0.02586,0.0506,0.002563,0.61,1,13,47.24,0.863,1,10188,12.0,0.0,0,50,10523,630814.9,0.0,-1,9.77
1786081749421,1480,v1,0.0506,0.8343,0.4702,2.2074,0.1932,0.03005,0.1835,0.003727,0.618,0,12,77.95,0.313,1,1346,9.611,8.34,1,50,9929,192257.7,100.0,6,26.14
1786081752252,1481,v1,0.0672,0.615,0.4181,2.3826,0.7857,0.02755,0.0995,0.002006,0.689,0,4,87.08,0.878,1,0,3.0,3.0,0,50,10457,332226.6,87.96,16,7.69
1786081756517,1482,v1,0.0428,0.7132,0.2533,1.2589,0.2856,0.00357,0.0768,0.00374,0.653,1,11,50.6,0.605,1,9010,10.0,0.975,0,50,10335,588605.6,8.4,-1,13.54
1786081759305,1483,v1,0.0334,0.4001,0.1867,2.0698,0.8778,0.02834,0.1379,0.002139,0.702,1,7,50.7,0.615,1,8381,6.0,1.487,1,50,11287,299597.6,100.0,14,77.23
1786081756656,1484,v1,0.0766,0.6042,0.4403,2.1001,0.1972,0.02245,0.1227,0.002305,0.643,1,9,98.27,0.993,1,8332,7.766,1.713,1,50,11219,276931.4,100.0,13,11.75
1786081758960,1485,v1,0.0601,0.7441,0.2956,2.2307,0.6595,0.00947,0.0989,0.00171,0.685,0,15,50.16,0.455,1,0,13.0,13.0,1,50,9703,215088.7,100.0,13,6.87
1786081760809,1486,v1,0.029,0.6489,0.2882,0.8298,0.6496,0.01885,0.1801,0.001729,0.599,0,21,55.9,0.639,1,0,10.302,10.302,1,50,9149,157702.1,100.0,7,7.36
1786081762984,1487,v1,0.027,0.4146,0.4135,0.9028,0.5128,0.01029,0.1573,0.003318,0.669,1,27,64.52,0.332,1,0,14.256,14.256,1,50,10902,247377.4,100.0,13,12.11
1786081756546,1488,v1,0.0741,0.4038,0.4296,1.9041,0.9151,0.00681,0.0838,0.002243,0.651,1,14,32.26,0.878,1,0,10.707,10.707,1,50,9988,175561.9,100.0,8,8.56
1786081760808,1489,v1,0.0316,0.4288,0.2699,1.6247,0.3353,0.0215,0.0861,0.001442,0.598,1,11,42.83,0.734,1,9962,10.0,0.866,0,50,11066,637123.0,7.37,-1,5.31
1786081763386,1490,v1,0.0477,0.6987,0.2478,1.0007,0.2747,0.02752,0.2056,0.001551,0.711,0,12,67.41,0.367,1,2598,11.0,8.474,0,50,9427,462954.2,64.44,17,6.23
1786081765011,1491,v1,0.0727,0.429,0.4383,2.2172,0.2568,0.01342,0.1205,0.003746,0.589,1,30,67.39,0.648,1,0,12.3,12.3,1,50,9783,177498.4,100.0,6,13.27
1786081758405,1492,v1,0.0707,0.2398,0.492,0.9514,0.2421,0.01779,0.0619,0.002202,0.683,0,11,39.13,0.346,1,1980,9.999,8.487,1,50,10715,256432.9,100.0,13,8.65
1786081760753,1493,v1,0.075,0.6351,0.3039,1.1151,0.8055,0.03077,0.0806,0.001638,0.685,1,29,93.33,0.504,1,0,17.101,17.101,0,50,10199,289031.4,91.93,15,6.49
1786081763298,1494,v1,0.074,0.8295,0.185,2.1135,0.16,0.02983,0.0672,0.001249,0.657,1,22,36.15,0.885,1,1795,16.345,13.512,0,50,10585,414845.8,90.41,15,5.07
1786081765362,1495,v1,0.054,0.4196,0.1806,1.145,0.7313,0.01845,0.1773,0.003359,0.702,0,9,59.62,0.355,1,3345,8.0,6.307,1,50,12169,285086.2,100.0,13,13.76
1786081759915,1496,v1,0.0272,0.4097,0.221,1.8113,0.4796,0.01137,0.14,0.00252,0.717,0,31,47.1,0.691,1,0,15.942,15.942,1,50,9711,228815.2,100.0,14,10.06
1786081761780,1497,v1,0.0461,0.9541,0.3363,2.4156,0.6682,0.01915,0.2155,0.002927,0.586,0,29,72.21,0.75,1,0,11.808,11.808,1,50,9781,165084.5,100.0,7,10.6
1786081764747,1498,v1,0.0296,0.6765,0.3268,1.7328,0.4474,0.01842,0.2187,0.003374,0.628,1,8,26.2,0.81,1,9509,7.0,0.0,0,50,9744,579153.6,0.0,-1,12.58
1786081765923,1499,v1,0.0616,0.8391,0.2459,0.9301,0.6315,0.0068,0.0803,0.001265,0.586,1,7,53.19,0.803,1,5915,5.116,1.725,1,50,10547,174447.1,100.0,4,4.85
1786081774028,1500,v1,0.0792,0.509,0.4982,1.3642,0.123,0.02502,0.1922,0.002096,0.636,0,8,24.73,0.63,1,4828,7.0,4.777,0,50,11003,460915.4,51.63,15,7.86
1786081777242,1501,v1,0.0212,0.8289,0.1257,1.8777,0.9271,0.02303,0.1864,0.0022,0.585,1,31,37.83,0.719,1,1678,18.08,15.097,0,50,10840,347987.4,85.55,15,8.73
1786081779438,1502,v1,0.0152,0.7575,0.1059,1.645,0.1579,0.01207,0.1324,0.001817,0.673,1,17,61.47,0.984,1,0,13.0,13.0,1,50,9469,214987.0,100.0,13,7.33
1786081781875,1503,v1,0.0632,0.411,0.3047,1.9388,0.2301,0.02583,0.247,0.002247,0.602,1,31,75.84,0.726,1,0,16.907,16.907,0,50,10298,283131.4,89.94,14,9.14
1786081773579,1504,v1,0.0719,0.9591,0.47,1.9131,0.6862,0.02705,0.1003,0.003162,0.619,0,29,23.45,0.689,1,804,16.729,15.44,0,50,10004,290430.3,92.25,14,12.41
1786081775862,1505,v1,0.0654,0.2699,0.228,1.1069,0.1818,0.01869,0.2177,0.003152,0.627,0,15,77.54,0.86,1,0,12.343,12.343,1,50,10874,229385.8,100.0,13,12.39
