timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
1786078117944,0,v1,0.0244,0.987,0.1742,1.9417,0.9916,0.02711,0.2329,0.003132,0.697,0,18,71.69,0.529,1,0,13.0,13.0,1,10,2509,55845.1,100.0,13,11.6
1786078118318,1,v1,0.0793,0.2581,0.1885,1.5233,0.4708,0.03154,0.2494,0.003044,0.617,0,7,86.69,0.798,1,0,5.327,5.327,1,10,1943,22046.4,100.0,5,11.43
1786078118907,2,v1,0.0176,0.3906,0.1977,2.4582,0.7191,0.01371,0.1274,0.002397,0.588,1,10,37.13,0.56,1,1434,9.0,2.801,1,10,2123,52909.9,100.0,13,71.69
1786078119439,3,v1,0.0538,0.9488,0.2046,1.6204,0.7237,0.03044,0.1299,0.002863,0.618,0,32,45.33,0.505,1,0,10.939,10.939,1,10,2142,32986.7,100.0,6,10.6
1786078118683,4,v1,0.0662,0.6901,0.4876,1.613,0.2585,0.02581,0.1955,0.003157,0.658,1,15,49.18,0.57,1,1401,14.0,5.06,0,10,2305,113432.2,31.91,15,12.84
1786078119584,5,v1,0.0532,0.3663,0.3753,1.413,0.2361,0.01315,0.1943,0.002358,0.656,1,8,31.0,0.892,1,2085,7.0,0.0,0,10,2128,135023.6,0.0,-1,8.88
1786078120520,6,v1,0.0345,0.2646,0.2874,2.4658,0.3665,0.00586,0.1641,0.002126,0.594,0,31,89.22,0.827,1,0,21.899,21.899,0,10,3078,124139.3,85.93,18,7.93
1786078121093,7,v1,0.0162,0.513,0.2164,1.6325,0.3836,0.0154,0.1784,0.001709,0.683,1,12,90.65,0.468,1,1040,11.0,4.662,1,10,1838,49350.3,100.0,14,60.39
1786078119180,8,v1,0.0544,0.9307,0.3703,2.3165,0.9833,0.0068,0.1251,0.002041,0.634,0,13,47.86,0.513,1,755,11.995,8.536,1,10,2232,54417.6,100.0,13,17.29
1786078119611,9,v1,0.0209,0.5196,0.4833,2.2886,0.225,0.03129,0.1402,0.001662,0.715,0,17,40.98,0.809,1,0,13.088,13.088,1,10,2109,47159.9,100.0,13,7.25
