timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
1786079120077,0,v1,0.0791,0.492,0.2388,2.3005,0.1292,0.00431,0.063,0.003748,0.664,0,11,94.41,0.837,1,0,10.0,10.0,0,30,5922,257485.5,84.52,17,13.71
1786079121226,1,v1,0.0429,0.8219,0.4642,1.0514,0.3946,0.01758,0.185,0.003462,0.674,0,18,42.61,0.42,1,0,13.0,13.0,1,30,5409,116647.5,100.0,13,13.0
1786079123068,2,v1,0.0553,0.8835,0.1699,1.0528,0.5046,0.00771,0.1777,0.002223,0.645,1,31,37.89,0.466,1,1074,19.243,15.391,0,30,5934,230461.0,92.93,16,9.2
1786079125415,3,v1,0.0539,0.3624,0.1703,1.9435,0.4485,0.02842,0.2101,0.003092,0.704,0,4,61.99,0.915,1,4424,3.0,2.301,0,30,6384,334261.8,26.58,17,11.78
1786079120768,4,v1,0.0779,0.6227,0.4887,1.6781,0.765,0.02724,0.1282,0.002455,0.634,1,20,35.36,0.493,1,698,15.326,13.84,0,30,7479,222137.4,95.24,14,9.77
1786079122022,5,v1,0.0568,0.5767,0.4486,1.1518,0.9813,0.00945,0.1251,0.003047,0.683,0,14,69.13,0.351,1,0,13.0,13.0,1,30,5576,121994.7,100.0,13,10.72
1786079123459,6,v1,0.075,0.9047,0.2774,2.3536,0.3212,0.03046,0.1847,0.002354,0.59,0,19,44.4,0.506,1,0,14.629,14.629,0,30,6059,167041.0,86.86,14,8.85
1786079125674,7,v1,0.032,0.8727,0.3392,2.117,0.2201,0.00921,0.1237,0.001528,0.621,1,33,37.34,0.876,1,2061,21.947,13.947,0,30,6219,323283.0,83.36,18,6.09
1786079120923,8,v1,0.0228,0.3563,0.4075,1.6376,0.751,0.03078,0.2325,0.003621,0.623,0,23,77.73,0.888,1,0,11.998,11.998,1,30,6453,126819.9,100.0,10,13.02
1786079123130,9,v1,0.0428,0.3407,0.3795,2.1207,0.3449,0.00748,0.2407,0.001834,0.676,0,17,75.56,0.532,1,0,16.0,16.0,0,30,6317,318046.3,55.25,19,7.31
1786079125562,10,v1,0.0793,0.4952,0.2507,1.9386,0.4274,0.02536,0.0632,0.003463,0.638,1,11,72.84,0.989,1,5922,10.0,0.0,0,30,6132,354568.1,0.0,-1,13.32
1786079128232,11,v1,0.0269,0.486,0.4206,0.8444,0.624,0.02913,0.202,0.002858,0.688,1,14,72.54,0.922,1,5681,13.0,0.0,0,30,5901,342948.0,0.0,-1,10.57
1786079121416,12,v1,0.0145,0.5282,0.2967,1.0936,0.9528,0.01861,0.2085,0.002859,0.582,1,31,91.9,0.473,1,0,17.491,17.491,0,30,6232,176975.6,85.18,15,10.57
1786079123224,13,v1,0.0288,0.8305,0.4447,0.9981,0.2076,0.01668,0.1099,0.002154,0.638,1,25,88.59,0.799,1,0,17.923,17.923,0,30,6309,220042.9,84.9,16,8.58
1786079125830,14,v1,0.018,0.3782,0.2992,1.5659,0.5929,0.01539,0.105,0.001242,0.66,0,15,35.05,0.877,1,3323,14.0,7.166,0,30,5932,353522.1,0.43,-1,4.62
1786079127837,15,v1,0.0582,0.4512,0.2104,1.4308,0.4375,0.00717,0.2118,0.002966,0.641,1,32,93.08,0.384,1,0,21.63,21.63,0,30,6182,262572.0,87.02,17,10.97
1786079122099,16,v1,0.0369,0.7667,0.1693,0.8618,0.4672,0.00351,0.1459,0.001417,0.716,1,24,52.09,0.535,1,639,13.942,12.398,1,30,5915,139345.5,100.0,13,5.9
1786079123191,17,v1,0.0175,0.8005,0.3444,1.314,0.9983,0.02573,0.193,0.002173,0.589,0,31,43.25,0.612,1,0,10.804,10.804,1,30,5763,84378.5,100.0,8,7.84
1786079125326,18,v1,0.0167,0.7569,0.3964,2.2385,0.2851,0.03145,0.211,0.001717,0.603,1,4,60.7,0.383,1,2728,3.0,1.682,0,30,6237,249256.7,48.9,14,6.49
1786079127187,19,v1,0.0431,0.3373,0.1867,1.471,0.5853,0.01195,0.1595,0.003058,0.699,1,22,67.6,0.614,1,0,13.934,13.934,1,30,6742,158113.2,100.0,14,10.83
1786079122581,20,v1,0.0441,0.5251,0.2851,2.2016,0.4959,0.01893,0.237,0.001907,0.592,0,12,66.93,0.396,1,855,9.414,8.099,1,30,5972,110590.6,100.0,7,20.51
1786079123670,21,v1,0.0522,0.7505,0.3714,2.3813,0.8402,0.01576,0.2401,0.003747,0.626,1,20,76.56,0.535,1,0,12.788,12.788,1,30,5548,124867.3,100.0,13,14.78
1786079125416,22,v1,0.0436,0.3615,0.278,1.162,0.7425,0.02652,0.1473,0.001768,0.64,0,24,76.67,0.566,1,0,16.538,16.538,0,30,6421,182808.0,87.97,15,6.35
1786079127186,23,v1,0.0567,0.8216,0.3104,1.6068,0.2065,0.02298,0.1694,0.002709,0.609,1,33,66.16,0.334,1,0,17.688,17.688,0,30,6369,182162.3,99.98,15,10.36
1786079124343,24,v1,0.0456,0.5016,0.4034,0.9629,0.3924,0.00761,0.1059,0.001818,0.667,1,11,94.71,0.693,1,5565,10.0,0.982,0,30,6281,384812.2,9.33,-1,7.31
1786079125539,25,v1,0.061,0.424,0.3556,0.807,0.5183,0.0066,0.0582,0.002805,0.704,1,22,71.38,0.458,1,0,13.634,13.634,1,30,5839,133539.5,100.0,13,9.93
1786079127434,26,v1,0.0417,0.6058,0.4496,1.2467,0.3188,0.02651,0.2369,0.001852,0.688,0,31,59.36,0.74,1,0,18.508,18.508,0,30,6427,207290.8,89.72,16,7.25
1786079129229,27,v1,0.039,0.5614,0.1923,2.3479,0.6833,0.02851,0.2143,0.003224,0.693,0,23,71.52,0.504,1,0,18.36,18.36,0,30,6206,202701.0,94.12,17,11.65
1786079128374,28,v1,0.0323,0.4156,0.3485,1.4633,0.8661,0.02295,0.1892,0.00358,0.622,0,15,48.57,0.541,1,2564,14.0,8.926,0,30,6366,250798.7,53.36,15,12.82
1786079129823,29,v1,0.0105,0.7484,0.3284,1.9597,0.1592,0.01002,0.0613,0.001808,0.612,0,26,82.92,0.826,1,0,13.694,13.694,1,30,6211,143813.1,100.0,13,7.29
1786079131170,30,v1,0.0414,0.5938,0.2391,1.4719,0.5964,0.00324,0.077,0.00302,0.667,0,27,55.0,0.356,1,0,13.879,13.879,1,30,5462,123585.9,100.0,13,11.35
1786079133026,31,v1,0.0663,0.3537,0.4127,1.6169,0.7308,0.02695,0.16,0.001911,0.675,0,27,28.07,0.519,1,0,13.879,13.879,1,30,7640,163687.2,100.0,13,7.58
1786079128173,32,v1,0.0422,0.6113,0.4897,1.1165,0.8306,0.02576,0.212,0.00185,0.642,0,25,54.89,0.845,1,0,16.243,16.243,0,30,5957,165516.0,93.31,15,7.27
1786079130351,33,v1,0.0494,0.6,0.4704,1.7749,0.3737,0.01655,0.0804,0.003402,0.592,1,4,85.19,0.318,1,2329,3.0,1.924,0,30,6560,250991.7,64.07,15,12.55
1786079131807,34,v1,0.0523,0.5178,0.3127,0.9627,0.8762,0.03137,0.087,0.002699,0.62,0,26,91.04,0.931,1,0,15.674,15.674,0,30,6020,158713.7,89.21,14,10.71
1786079133371,35,v1,0.0491,0.6699,0.1248,2.2237,0.7576,0.0054,0.1261,0.002282,0.628,1,6,83.13,0.847,1,5912,5.0,0.045,1,30,6026,161764.3,100.0,26,99.15
1786079129434,36,v1,0.0344,0.6403,0.2031,1.4839,0.8968,0.02062,0.222,0.001693,0.623,0,7,98.91,0.718,1,0,6.0,6.0,0,30,5940,182585.0,85.67,16,6.68
1786079130852,37,v1,0.076,0.7421,0.3762,1.7388,0.3801,0.02944,0.1836,0.001967,0.604,0,18,71.06,0.986,1,0,6.859,6.859,1,30,5786,55873.6,100.0,3,7.83
1786079133150,38,v1,0.0117,0.3329,0.2686,2.1036,0.1083,0.02117,0.1541,0.002086,0.615,1,34,87.58,0.493,1,0,11.517,11.517,0,30,6787,307015.2,48.64,19,8.16
1786079135005,39,v1,0.0673,0.8096,0.4383,2.2114,0.7228,0.01191,0.0896,0.002512,0.668,0,9,62.69,0.643,1,2517,8.0,5.591,1,30,6384,162314.8,100.0,13,14.71
1786079130178,40,v1,0.0223,0.2461,0.2738,1.4197,0.6269,0.0043,0.1087,0.003523,0.718,1,24,61.04,0.855,1,945,16.315,13.716,1,30,6406,165293.0,100.0,16,27.52
1786079131413,41,v1,0.0483,0.3514,0.3054,1.972,0.1351,0.01645,0.2472,0.003187,0.593,0,31,25.95,0.584,1,0,14.309,14.309,1,30,5773,128006.5,100.0,13,12.51
1786079133667,42,v1,0.0214,0.4103,0.1792,1.1102,0.1343,0.01237,0.1254,0.002315,0.618,0,16,66.19,0.621,1,2725,15.0,8.544,0,30,5675,304020.9,37.04,18,8.72
1786079135412,43,v1,0.0744,0.5276,0.1603,1.4534,0.471,0.00986,0.2044,0.001745,0.589,0,23,45.77,0.87,1,0,16.276,16.276,0,30,6146,178294.7,85.82,15,5.84
1786079130381,44,v1,0.0301,0.5208,0.1647,1.7736,0.9575,0.01304,0.1639,0.001304,0.657,0,22,49.21,0.849,1,0,13.0,13.0,1,30,6019,137598.3,100.0,13,5.25
1786079131565,45,v1,0.0361,0.6815,0.4336,1.2606,0.2072,0.00523,0.1707,0.00285,0.712,1,15,38.62,0.762,1,0,13.705,13.705,1,30,5758,135498.1,100.0,13,10.16
1786079133862,46,v1,0.0663,0.5047,0.1369,1.2463,0.7532,0.02686,0.1698,0.001647,0.654,1,6,73.23,0.558,1,3656,5.0,1.741,0,30,5645,284253.7,30.04,15,6.08
