voyage_id,convict_count
"Neptune, Scarborough and Surprize | December 1789 [MULTI-SHIP]",1072
Mount Stuart Elphinstone | 02 February 1848,240
Emily | 25 June 1842,240
Canton | 20 September 1839,240
Marquis of Hastings | 15 July 1842,240
Hashemy | 02 December 1848,239
Lord Petre | 03 July 1843,238
Eden | 30 September 1848,237
Mangles | 08 December 1832,236
Dudbrook | 17 November 1852,235
Aurora | 22 April 1851,234
Captain Cook | 02 May 1833,231
Roslin Castle | 22 May 1834,231
England | 06 June 1835,230
Mount Stewart Elphinstone | 01 June 1849,230
Woodbridge | 10 October 1839,230
Asia | 04 February 1833,230
Elphinstone | 06 April 1842,230
Arab | 22 February 1834,230
Isabella | 03 April 1818,230
Lord Hungerford | July 1821,228
Marquis of Huntley | 05 April 1830,228
Agincourt | 06 July 1844,226
Stag | 02 February 1855,225
Gilmore | 31 October 1831,225
Eliza | 02 February 1831,224
Sultana | 26 May 1859,224
Waterloo | 18 November 1834,224
Isabella | 22 November 1831,224
Strathfieldsay | 22 July 1831,224
Waterloo | 02 October 1837,224
Katherine Stewart Forbes | 21 February 1832,222
Sir Robert Sippings [Seppings] | 17 March 1852,221
Westmoreland | 03 March 1835,220
Waterloo | 30 May 1842,220
David Malcolm | 13 May 1845,220
Duchess of Northumberland | 25 November 1852,220
Elizabeth | 03 October 1831,220
Theresa | 28 March 1845,220
Ocean | August 1815,220
David Lyon | 29 April 1830,220
George the Third | 12 December 1834,220
Batavia | October 1817,220
Henry Tanner | 27 June 1834,220
Commodore Hayes | April 1823,219
Somersetshire | 30 November 1841,219
Lord Eldon | April 1817,219
Stakesby | 20 May 1833,216
Lotus | 20 December 1832,216
Clyde | 20 August 1830,216
Lady Harewood | 15 October 1830,216
Royal George | 25 June 1830,215
Waterloo | 11 March 1833,214
Emerald Isle | 28 June 1843,214
Surrey | 19 November 1832,214
St Vincent | 28 December 1852,214
Surrey | 28 March 1840,213
William Jardine | 30 April 1852,212
Mandarin | 24 February 1840,212
Adelaide | 13 May 1863,211
Lady East | 04 November 1824,211
Augusta Jessie | 10 August 1838,210
Emperor Alexander | 06 April 1833,210
Augusta Jessie | 27 September 1834,210
Blenheim | 11 March 1837,210
Mermaid | 30 December 1850,209
Blundell | 13 March 1844,209
Hindostan | 05 October 1840,209
St Vincent | 13 December 1849,207
Royal Admiral | 02 May 1842,205
Ganges | August 1796,205
Bangalore | 28 March 1848,204
Woodbridge | 20 August 1843,204
Phoenix | 29 March 1824,204
Westmoreland | 15 May 1841,204
Fame | 09 October 1816,201
Surrey | January 1814,201
Marquis of Huntley | 10 May 1826,200
Parmelia | 23 July 1832,200
Emma Eugenia | 02 November 1837,200
Maitland | 26 August 1843,200
Hercules | 14 June 1832,200
Surrey | 13 July 1829,200
Surrey | 15 July 1831,200
Prince Regent | 17 August 1829,200
Fortune | November 1812,200
Sarah | 22 August 1829,200
Runnymede | 11 November 1839,200
York | 03 September 1830,200
Florentia | 11 August 1830,200
Mermaid | 02 December 1829,200
Lady Harewood | 13 March 1832,200
York | 11 August 1832,200
Albion | 17 May 1823,200
Morley | 05 August 1829,200
China | 03 January 1846,200
Lloyds | 19 August 1833,200
Earl Spencer | May 1813,200
Lloyds | 25 March 1837,200
Guildford | August 1811,200
Planter | 13 June 1832,200
Clyde | 27 April 1832,200
John Brewer | 01 December 1841,200
England | 31 March 1832,200
Tottenham | January 1818,200
Asia | 13 August 1827,200
Bussorah Merchant | 01 October 1829,200
Somersetshire | March 1814,200
Asia | 29 September 1831,200
Sir William Bensley | 09 October 1816,200
Ann | August 1809,200
Atlas | 27 April 1833,200
John | 09 October 1830,200
Indian | July 1810,200
John | 26 January 1832,200
Indefatigable | October 1814,200
Enchantress | 06 April 1833,200
Marquis of Wellington | August 1814,200
Norfolk | 20 May 1829,200
Manlius | 23 April 1830,200
Katherine Stewart Forbes | 07 October 1829,200
Camden | 21 September 1832,200
Asia | 22 October 1824,200
Pestonjee Bomanjee | 08 October 1846,200
Anna Maria | 04 October 1851,200
Mayda | 27 August 1845,199
John Calvin | 09 May 1846,199
Persian | 26 June 1830,198
Camden | 21 March 1831,198
Atlas | 16 January 1816,193
Merchantman | 10 October 1862,192
Royal Admiral | 01 July 1830,192
York | 30 April 1829,192
William Miles | 15 March 1828,192
Circassian | 04 November 1832,192
Albion | 21 September 1826,192
Tasmania | 09 September 1844,192
Albion | 29 May 1828,192
Burrell | 22 July 1830,192
Mangles | 29 March 1820,191
Garland Grove | 07 September 1842,191
Emma Eugenia | 16 November 1841,191
Guildford | 22 March 1827,190
Guildford | 04 April 1822,190
Southworth | 21 September 1833,190
Governor Ready | 26 March 1827,190
Baretto Junior | 05 April 1850,190
Mangles | July 1824,190
Egyptian | 05 April 1839,190
Phoenix | 04 March 1828,190
Henrietta | 10 July 1843,190
Anna Maria | 06 March 1848,190
Layton | 17 June 1829,190
Asia | 03 September 1820,190
Asia | 01 April 1822,190
Guildford | 12 May 1820,190
Duke of Portland | January 1807,189
Asiatic | 26 May 1843,188
Recovery | 30 July 1819,188
John | 22 May 1829,188
John | 18 July 1827,188
Andromeda | 13 November 1832,186
Lord Goderich | 26 June 1841,186
Lord William Bentinck | 28 April 1832,186
Westmoreland | 09 August 1836,185
Countess of Harcourt | 29 April 1828,185
Georgiana | 28 September 1832,184
Phoenix | November 1821,184
Woodford | 29 April 1828,184
Gilbert Henderson | 10 December 1839,184
Nithsdale | 26 December 1829,184
Sir Godfrey Webster | 04 August 1823,181
Georgiana | 29 March 1831,181
Prince Regent | 08 June 1827,181
Medina | 19 April 1825,180
Norfolk | 15 April 1825,180
Garland Grove | 14 June 1841,180
Ocean | August 1817,180
Navarino | 05 October 1840,180
Rajah | 01 April 1841,180
Chapman | 06 April 1824,180
Buffalo | 04 May 1833,180
Claudine | 19 August 1829,180
Almorah | April 1817,180
Dunvegan Castle | 28 September 1829,180
Lady Feversham | 03 April 1830,180
Hindostan | 06 May 1839,179
Agamemnon | 22 April 1820,179
Mary | 13 April 1835,179
Portland | 19 November 1831,178
Marquess of Hastings | 27 June 1828,178
America | 04 April 1829,176
Manlius | 11 April 1827,176
Roslin Castle | 12 August 1828,176
Lord Melville | 29 May 1830,176
Mary | 28 August 1821,176
Manlius | 16 July 1828,176
Stately | 12 May 1849,175
Morley | November 1816,175
Emma Eugenia | 25 October 1850,174
Medway | 28 July 1825,173
Morley | 19 September 1822,173
Fanny | 25 August 1815,173
John Renwick | 25 April 1838,173
Countess of Harcourt | 16 March 1824,172
Countess of Harcourt | 08 April 1821,172
Florentia | 14 August 1827,172
Ocean | 22 April 1823,172
Minerva | 26 July 1821,172
Minerva | 08 July 1824,172
Elizabeth | 11 August 1820,172
Planter | 29 October 1838,171
Tory | 17 March 1845,171
Malabar | 18 June 1821,171
Angelina | 25 April 1844,171
Royal Sovereign | 25 July 1835,170
Lord Melville | 14 November 1828,170
Tory | 26 April 1848,170
Neptune | December 1817,170
Bussorah Merchant | 24 March 1828,170
Asia | 09 March 1847,170
Sea Queen | 08 May 1846,170
Glory | May 1818,170
Mary | 21 August 1832,170
Neva | 27 July 1833,170
Georgiana | 24 November 1828,170
Elizabeth and Henry | 14 September 1846 [MULTI-SHIP],170
Emma Eugenia | 16 November 1843,170
Malabar | 14 June 1819,170
Pyramus | 16 November 1838,170
Lloyds | 23 July 1845,170
Bengal Merchant | 13 March 1828,170
Emma Eugenia | 22 January 1846,170
Elizabeth and Henry | 11 February 1848 [MULTI-SHIP],170
Mellish | 10 November 1828,169
Cadet | 04 September 1847,169
Mary | 15 December 1829,168
Jupiter | 31 December 1832,168
Marquis of Hastings | 14 April 1827,168
Red Rover | 21 October 1830,168
Adrian | 13 April 1830,167
William Glen Anderson | 31 May 1831,167
New Grove | 30 October 1834,165
Morley | July 1818,164
Earl St Vincent | 20 April 1826,164
Layton | 13 June 1827,161
Elizabeth | 20 June 1836,161
Thames | 27 July 1829,160
Richmond | November 1822,160
Vittoria | 26 August 1828,160
Sir Charles Forbes | 01 April 1830,160
Royal George | 22 August 1828,160
Southworth | 23 June 1830,160
Surrey | 02 October 1822,160
Surrey | 29 September 1818,160
Prince Regent | 17 September 1819,160
Competitor | 18 March 1823,160
Juliana | 03 September 1820,160
Guildford | 22 August 1823,160
Lord Sidmouth | 20 September 1818,160
John Renwick | 24 November 1842,160
Hibernia | 20 November 1818,160
Minerva | 25 May 1838,160
Henry | April 1823,160
Hebe | 27 July 1820,160
Eliza | 22 September 1819,160
Eliza | 13 July 1822,160
Earl St Vincent | 06 April 1820,160
Claudine | 20 May 1821,160
Asia | 25 July 1827,158
Eliza | 25 June 1828,158
Earl of Liverpool | December 1830,158
Maria | 26 July 1820,157
Princess Royal | 28 September 1822,156
Speke | 13 December 1820,156
Speke | 05 August 1826,156
Atlas | 05 June 1819,156
Margaret | 24 December 1842,156
Medway | 13 November 1820,156
Arab | 03 July 1822,156
Neptune | 18 March 1820,156
Stratheden | 31 July 1845,155
Elizabeth | May 1816,153
Grenada | 03 May 1821,152
Hindostan | July 1821,152
Marquess of Hastings | 19 August 1825,152
Grenada | May 1819,152
Lady Juliana | June 1789,151
Mary | 09 June 1831,151
Atwick | 28 September 1837,151
Edward | 23 April 1834,151
Sesostris | 23 November 1825,150
Caledonia | 05 July 1820,150
Hadlow | August 1818,150
Asia | 29 July 1823,150
Shipley | 18 July 1818,150
Cadet | 10 November 1848,150
Frances Charlotte | 27 December 1836,150
Shipley | November 1821,150
Woodman | 01 December 1825,150
Royal Sovereign | 29 August 1837,150
Shipley | 22 May 1820,150
Caledonia | 19 June 1822,150
Lord Melville | July 1818,149
Pyramus | 08 October 1831,149
Hydery | 02 April 1832,149
Midas | 07 October 1826,148
England | 28 April 1826,148
Andromeda | 16 October 1826,147
Mariner | May 1816,146
George Hibbert | 22 July 1834,144
Adamant | 26 March 1821,144
Mary Anne | 16 July 1839,143
John Barry | 30 April 1819,142
Henry Wellesley | 17 July 1837,140
Globe | September 1818,140
Dick | 02 October 1820,140
Numa | 03 December 1833,140
Princess Charlotte | 03 July 1824,140
Lady Ridley | 04 January 1821,138
Royal Charlotte | 18 November 1824,136
Prince of Orange | 02 October 1820,136
Canada | 23 April 1819,136
Prince of Orange | 22 July 1822,136
Hector | 11 June 1835,134
Hercules | 24 December 1824,134
Eleanor | 15 February 1831,133
Arab | 14 December 1835,132
Nautilus | 25 April 1838,132
Indispensible | October 1795,131
Sir Charles Forbes | 23 November 1824,130
Marmion | 02 November 1827,130
William Bryan | 13 June 1833,130
Roslin Castle | 17 February 1830,128
Champion | 24 May 1827,128
Mary | 03 June 1823,127
Maria | 15 May 1818,126
Shipley | 20 December 1816,125
Morley | 17 May 1820,124
Majestic | 01 October 1838,123
Canada | March 1810,122
Broxbournebury | January 1814,122
America | 30 December 1830,121
Minstrel | 05 April 1825,121
William Pitt | July 1805,120
Kains | 05 July 1830,120
Sovereign | 15 April 1829,119
Wanstead | August 1813,119
Henry Wellesley | 23 September 1835,118
Mellish | 27 May 1830,118
Eliza | 03 November 1829,117
Jane | 21 January 1833,115
Sydney Cove | January 1807,113
Platina | 22 April 1837,113
Proteus | 12 April 1831,112
Northampton | December 1814,110
