row_index,replicate_id,timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
3396,0,1786275618431,sobol_3396_0,v1,0.0595,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.689,0,5,28.64,0.573,1,2302,4.0,3.177,1,30,5645,143900.3,100.0,13,46.29
3396,1,1786275619796,sobol_3396_1,v1,0.0595,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.689,1,5,98.5,0.573,1,4000,4.0,1.094,0,30,5601,286633.8,24.71,16,12.69
3396,2,1786275621134,sobol_3396_2,v1,0.0595,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.689,0,5,36.98,0.573,1,2031,4.0,3.368,0,30,6489,297115.1,59.77,16,8.69
3396,3,1786275622451,sobol_3396_3,v1,0.0595,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.689,0,5,50.6,0.573,1,2050,4.0,3.356,0,30,6470,302296.6,58.43,17,14.44
3396,4,1786275613738,sobol_3396_4,v1,0.0595,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.689,1,5,93.52,0.573,1,4133,4.0,1.452,1,30,6536,177298.7,100.0,14,65.82
3397,0,1786275614650,sobol_3397_0,v1,0.0736,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.689,0,5,28.64,0.573,1,2302,4.0,3.177,1,30,5645,143431.8,100.0,13,27.12
3397,1,1786275616431,sobol_3397_1,v1,0.0736,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.689,1,5,98.5,0.573,1,4000,4.0,1.094,0,30,5601,286030.3,23.61,16,12.66
3397,2,1786275618178,sobol_3397_2,v1,0.0736,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.689,0,5,36.98,0.573,1,2031,4.0,3.368,0,30,6489,292469.7,64.66,16,8.71
3397,3,1786275619721,sobol_3397_3,v1,0.0736,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.689,0,5,50.6,0.573,1,2050,4.0,3.356,0,30,6470,295768.6,59.86,16,14.48
3397,4,1786275620666,sobol_3397_4,v1,0.0736,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.689,1,5,93.52,0.573,1,4133,4.0,1.452,1,30,6536,177533.4,100.0,14,56.17
