row_index,replicate_id,timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
1090,3,1786309759228,sobol_1090_3,v1,0.0776,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.684,0,33,50.6,0.884,1,0,21.103,21.103,0,30,6470,258939.8,87.68,16,14.54
1090,4,1786309760900,sobol_1090_4,v1,0.0776,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.684,1,33,93.52,0.884,1,0,15.093,15.093,1,30,6536,158563.7,100.0,13,5.49
1091,0,1786309761778,sobol_1091_0,v1,0.0728,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.684,0,28,28.64,0.488,1,0,14.683,14.683,1,30,5645,134040.3,100.0,13,8.22
1091,1,1786309762214,sobol_1091_1,v1,0.0728,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.684,1,28,98.5,0.488,1,0,16.994,16.994,0,30,5601,158967.0,87.91,15,13.19
1091,2,1786309763885,sobol_1091_2,v1,0.0728,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.684,0,28,36.98,0.488,1,0,18.251,18.251,0,30,6489,242497.4,96.61,16,8.85
1091,3,1786309765531,sobol_1091_3,v1,0.0728,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.684,0,28,50.6,0.488,1,0,19.129,19.129,0,30,6470,260786.7,90.57,16,14.16
1091,4,1786309766748,sobol_1091_4,v1,0.0728,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.684,1,28,93.52,0.488,1,0,14.806,14.806,1,30,6536,158960.8,100.0,13,5.39
1092,0,1786309768057,sobol_1092_0,v1,0.0601,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.69,0,9,28.64,0.359,1,1229,8.0,6.67,1,30,5645,140266.6,100.0,13,23.4
1092,1,1786309769478,sobol_1092_1,v1,0.0601,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.69,1,9,98.5,0.359,1,2430,8.0,4.417,0,30,5601,241721.7,50.84,15,13.14
1092,2,1786309771593,sobol_1092_2,v1,0.0601,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.69,0,9,36.98,0.359,1,1179,8.0,6.89,0,30,6489,280406.0,72.09,16,8.94
1092,3,1786309773324,sobol_1092_3,v1,0.0601,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.69,0,9,50.6,0.359,1,1568,8.0,6.503,0,30,6470,297371.1,64.41,17,14.5
1092,4,1786309762973,sobol_1092_4,v1,0.0601,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.69,1,9,93.52,0.359,1,3049,8.0,4.212,1,30,6536,174351.5,100.0,14,50.24
1093,0,1786309764041,sobol_1093_0,v1,0.0553,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.69,0,9,28.64,0.359,1,1229,8.0,6.67,1,30,5645,140513.0,100.0,14,28.13
1093,1,1786309765671,sobol_1093_1,v1,0.0553,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.69,1,9,98.5,0.359,1,2430,8.0,4.417,0,30,5601,242110.7,52.25,16,13.32
1093,2,1786309767319,sobol_1093_2,v1,0.0553,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.69,0,9,36.98,0.359,1,1179,8.0,6.89,0,30,6489,282904.7,75.19,16,8.69
1093,3,1786309769278,sobol_1093_3,v1,0.0553,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.69,0,9,50.6,0.359,1,1568,8.0,6.503,0,30,6470,299719.9,67.26,17,14.7
1093,4,1786309770770,sobol_1093_4,v1,0.0553,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.69,1,9,93.52,0.359,1,3049,8.0,4.212,1,30,6536,174338.7,100.0,14,50.11
1094,0,1786309771868,sobol_1094_0,v1,0.0601,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.69,0,20,28.64,0.359,1,0,13.746,13.746,1,30,5645,134780.8,100.0,13,8.29
1094,1,1786309773137,sobol_1094_1,v1,0.0601,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.69,1,20,98.5,0.359,1,0,16.029,16.029,0,30,5601,163779.1,92.46,15,12.98
1094,2,1786309763602,sobol_1094_2,v1,0.0601,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.69,0,20,36.98,0.359,1,0,16.681,16.681,0,30,6489,255707.8,87.8,16,8.61
1094,3,1786309765025,sobol_1094_3,v1,0.0601,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.69,0,20,50.6,0.359,1,0,17.255,17.255,0,30,6470,272249.0,85.5,17,14.17
1094,4,1786309766439,sobol_1094_4,v1,0.0601,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.69,1,20,93.52,0.359,1,0,13.926,13.926,1,30,6536,160121.4,100.0,14,5.49
1095,0,1786309767566,sobol_1095_0,v1,0.0601,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.69,0,9,28.64,0.663,1,2271,8.0,5.543,1,30,5645,145183.4,100.0,14,38.07
1095,1,1786309769440,sobol_1095_1,v1,0.0601,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.69,1,9,98.5,0.663,1,4488,8.0,1.383,0,30,5601,301309.6,15.94,-1,13.07
1095,2,1786309771509,sobol_1095_2,v1,0.0601,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.69,0,9,36.98,0.663,1,2179,8.0,5.948,0,30,6489,301165.9,57.72,16,8.6
1095,3,1786309773395,sobol_1095_3,v1,0.0601,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.69,0,9,50.6,0.663,1,2897,8.0,5.233,0,30,6470,318377.8,46.0,17,14.47
1095,4,1786309774582,sobol_1095_4,v1,0.0601,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.69,1,9,93.52,0.663,1,5633,8.0,1.002,1,30,6536,186296.8,100.0,23,88.23
1096,0,1786309763483,sobol_1096_0,v1,0.0601,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.719,0,9,28.64,0.359,1,1229,8.0,6.67,1,30,5645,141056.8,100.0,14,25.88
1096,1,1786309764912,sobol_1096_1,v1,0.0601,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.719,1,9,98.5,0.359,1,2430,8.0,4.417,0,30,5601,260012.9,46.61,16,13.25
