row_index,replicate_id,timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
8130,4,1786066400697,sobol_8130_4,v1,0.0608,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.646,1,17,59.46,0.802,1,6378,16.0,0.0,0,30,6536,423767.5,0.0,-1,5.52
8131,0,1786066401555,sobol_8131_0,v1,0.0608,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.654,0,21,67.94,0.302,1,0,13.0,13.0,1,30,5645,129539.4,100.0,13,8.43
8131,1,1786066401684,sobol_8131_1,v1,0.0608,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.654,1,29,42.1,0.958,1,888,16.965,14.026,0,30,5601,175279.3,84.6,15,13.16
8131,2,1786066403236,sobol_8131_2,v1,0.0608,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.654,0,33,49.87,0.667,1,0,14.324,14.324,1,30,6489,143732.3,100.0,13,8.8
8131,3,1786066404300,sobol_8131_3,v1,0.0608,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.654,0,19,95.71,0.975,1,0,13.0,13.0,1,30,6470,144044.9,100.0,13,14.64
8131,4,1786066406508,sobol_8131_4,v1,0.0608,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.654,1,17,59.46,0.802,1,6378,16.0,0.0,0,30,6536,423767.5,0.0,-1,5.52
8132,0,1786066407897,sobol_8132_0,v1,0.0751,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.646,0,21,67.94,0.302,1,0,12.826,12.826,1,30,5645,127485.0,100.0,13,8.36
8132,1,1786066408952,sobol_8132_1,v1,0.0751,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.646,1,29,42.1,0.958,1,850,16.671,13.9,0,30,5601,171072.9,92.39,14,13.34
8132,2,1786066410417,sobol_8132_2,v1,0.0751,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.646,0,33,49.87,0.667,1,0,13.809,13.809,1,30,6489,136802.7,100.0,13,8.68
8132,3,1786066411439,sobol_8132_3,v1,0.0751,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.646,0,19,95.71,0.975,1,0,12.916,12.916,1,30,6470,142969.6,100.0,13,14.44
8132,4,1786066403269,sobol_8132_4,v1,0.0751,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.646,1,17,59.46,0.802,1,4651,16.0,4.332,0,30,6536,389561.8,27.08,16,5.54
8133,0,1786066404197,sobol_8133_0,v1,0.0751,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.646,0,21,67.94,0.302,1,0,12.826,12.826,1,30,5645,127485.0,100.0,13,8.36
8133,1,1786066405549,sobol_8133_1,v1,0.0751,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.646,1,29,42.1,0.958,1,850,16.671,13.9,0,30,5601,171072.9,92.39,14,13.34
8133,2,1786066406637,sobol_8133_2,v1,0.0751,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.646,0,33,49.87,0.667,1,0,13.809,13.809,1,30,6489,136802.7,100.0,13,8.68
